itl_cd,itl_name,year,annual_births_lag4,headcount
TLC1,Tees Valley and Durham,2011,13662,13513
TLC1,Tees Valley and Durham,2012,14192,13891
TLC1,Tees Valley and Durham,2013,13763,13530
TLC1,Tees Valley and Durham,2014,14273,14087
TLC1,Tees Valley and Durham,2015,14568,14405
TLC1,Tees Valley and Durham,2016,14333,14232
TLC1,Tees Valley and Durham,2017,14078,13961
TLC1,Tees Valley and Durham,2018,13467,13603
TLC1,Tees Valley and Durham,2019,13331,13352
TLC1,Tees Valley and Durham,2020,13147,13209
TLC1,Tees Valley and Durham,2021,12986,12900
TLC1,Tees Valley and Durham,2022,12502,12786
TLC2,"Northumberland, and Tyne and Wear",2011,15422,15055
TLC2,"Northumberland, and Tyne and Wear",2012,16177,15718
TLC2,"Northumberland, and Tyne and Wear",2013,15866,15546
TLC2,"Northumberland, and Tyne and Wear",2014,16030,15635
TLC2,"Northumberland, and Tyne and Wear",2015,16210,16023
TLC2,"Northumberland, and Tyne and Wear",2016,16105,16040
TLC2,"Northumberland, and Tyne and Wear",2017,15568,15539
TLC2,"Northumberland, and Tyne and Wear",2018,15414,15209
TLC2,"Northumberland, and Tyne and Wear",2019,14992,15110
TLC2,"Northumberland, and Tyne and Wear",2020,15435,15407
TLC2,"Northumberland, and Tyne and Wear",2021,14878,14784
TLC2,"Northumberland, and Tyne and Wear",2022,14602,14780
TLD1,Cumbria,2011,4919,4966
TLD1,Cumbria,2012,5153,5057
TLD1,Cumbria,2013,5012,5076
TLD1,Cumbria,2014,5095,5070
TLD1,Cumbria,2015,5050,5142
TLD1,Cumbria,2016,5002,5047
TLD1,Cumbria,2017,4895,5041
TLD1,Cumbria,2018,4809,4886
TLD1,Cumbria,2019,4773,4911
TLD1,Cumbria,2020,4806,4902
TLD1,Cumbria,2021,4682,4785
TLD1,Cumbria,2022,4351,4524
TLD3,Greater Manchester,2011,35013,33564
TLD3,Greater Manchester,2012,36876,34723
TLD3,Greater Manchester,2013,36641,35194
TLD3,Greater Manchester,2014,37584,35791
TLD3,Greater Manchester,2015,37979,36487
TLD3,Greater Manchester,2016,37818,36729
TLD3,Greater Manchester,2017,37116,36195
TLD3,Greater Manchester,2018,36733,35433
TLD3,Greater Manchester,2019,36516,35557
TLD3,Greater Manchester,2020,37119,35198
TLD3,Greater Manchester,2021,36311,34674
TLD3,Greater Manchester,2022,35101,34041
TLD4,Lancashire,2011,17270,17098
TLD4,Lancashire,2012,18044,17564
TLD4,Lancashire,2013,17935,17459
TLD4,Lancashire,2014,17684,17575
TLD4,Lancashire,2015,17924,17958
TLD4,Lancashire,2016,17815,17839
TLD4,Lancashire,2017,17626,17667
TLD4,Lancashire,2018,17127,17350
TLD4,Lancashire,2019,17238,17387
TLD4,Lancashire,2020,17116,17290
TLD4,Lancashire,2021,16703,16933
TLD4,Lancashire,2022,16003,16521
TLD6,Cheshire,2011,9795,10071
TLD6,Cheshire,2012,10321,10502
TLD6,Cheshire,2013,10076,10192
TLD6,Cheshire,2014,10038,10515
TLD6,Cheshire,2015,10375,10681
TLD6,Cheshire,2016,10310,10726
TLD6,Cheshire,2017,9878,10327
TLD6,Cheshire,2018,9807,10265
TLD6,Cheshire,2019,9602,10312
TLD6,Cheshire,2020,9830,10267
TLD6,Cheshire,2021,9482,10106
TLD6,Cheshire,2022,9470,10088
TLD7,Merseyside,2011,17375,16557
TLD7,Merseyside,2012,17816,17174
TLD7,Merseyside,2013,17630,16937
TLD7,Merseyside,2014,17688,17207
TLD7,Merseyside,2015,18140,17660
TLD7,Merseyside,2016,18317,18044
TLD7,Merseyside,2017,17657,17426
TLD7,Merseyside,2018,17637,17319
TLD7,Merseyside,2019,17681,17473
TLD7,Merseyside,2020,17753,17312
TLD7,Merseyside,2021,17683,17388
TLD7,Merseyside,2022,17254,16896
TLE1,East Yorkshire and Northern Lincolnshire,2011,10303,10328
TLE1,East Yorkshire and Northern Lincolnshire,2012,10742,10522
TLE1,East Yorkshire and Northern Lincolnshire,2013,10498,10529
TLE1,East Yorkshire and Northern Lincolnshire,2014,10630,10715
TLE1,East Yorkshire and Northern Lincolnshire,2015,10766,10790
TLE1,East Yorkshire and Northern Lincolnshire,2016,11082,11227
TLE1,East Yorkshire and Northern Lincolnshire,2017,10557,10777
TLE1,East Yorkshire and Northern Lincolnshire,2018,10321,10265
TLE1,East Yorkshire and Northern Lincolnshire,2019,10232,10456
TLE1,East Yorkshire and Northern Lincolnshire,2020,10150,10153
TLE1,East Yorkshire and Northern Lincolnshire,2021,10016,10019
TLE1,East Yorkshire and Northern Lincolnshire,2022,9655,9853
TLE2,North Yorkshire,2011,7824,7679
TLE2,North Yorkshire,2012,8133,8186
TLE2,North Yorkshire,2013,8092,7959
TLE2,North Yorkshire,2014,7954,8093
TLE2,North Yorkshire,2015,8023,8194
TLE2,North Yorkshire,2016,8143,8098
TLE2,North Yorkshire,2017,7715,7917
TLE2,North Yorkshire,2018,7739,7867
TLE2,North Yorkshire,2019,7608,7729
TLE2,North Yorkshire,2020,7724,7745
TLE2,North Yorkshire,2021,7416,7575
TLE2,North Yorkshire,2022,7235,7400
TLE3,South Yorkshire,2011,15870,15401
TLE3,South Yorkshire,2012,16476,15987
TLE3,South Yorkshire,2013,16426,15947
TLE3,South Yorkshire,2014,16419,16259
TLE3,South Yorkshire,2015,16671,16506
TLE3,South Yorkshire,2016,16869,16568
TLE3,South Yorkshire,2017,16486,16165
TLE3,South Yorkshire,2018,16064,15655
TLE3,South Yorkshire,2019,15953,15739
TLE3,South Yorkshire,2020,16028,15606
TLE3,South Yorkshire,2021,15888,15666
TLE3,South Yorkshire,2022,15452,15376
TLE4,West Yorkshire,2011,29348,28111
TLE4,West Yorkshire,2012,30569,29151
TLE4,West Yorkshire,2013,30849,29444
TLE4,West Yorkshire,2014,31566,30392
TLE4,West Yorkshire,2015,31430,30286
TLE4,West Yorkshire,2016,31289,30420
TLE4,West Yorkshire,2017,30755,29726
TLE4,West Yorkshire,2018,30246,29390
TLE4,West Yorkshire,2019,30243,29187
TLE4,West Yorkshire,2020,30128,28971
TLE4,West Yorkshire,2021,29768,28566
TLE4,West Yorkshire,2022,28705,27903
TLF1,Derbyshire and Nottinghamshire,2011,23720,23844
TLF1,Derbyshire and Nottinghamshire,2012,24839,24839
TLF1,Derbyshire and Nottinghamshire,2013,24615,24711
TLF1,Derbyshire and Nottinghamshire,2014,25022,24937
TLF1,Derbyshire and Nottinghamshire,2015,25604,25604
TLF1,Derbyshire and Nottinghamshire,2016,25777,25693
TLF1,Derbyshire and Nottinghamshire,2017,24940,24825
TLF1,Derbyshire and Nottinghamshire,2018,24322,24379
TLF1,Derbyshire and Nottinghamshire,2019,24191,24339
TLF1,Derbyshire and Nottinghamshire,2020,24220,24226
TLF1,Derbyshire and Nottinghamshire,2021,23906,23707
TLF1,Derbyshire and Nottinghamshire,2022,22910,23123
TLF2,"Leicestershire, Rutland and Northamptonshire",2011,20646,20500
TLF2,"Leicestershire, Rutland and Northamptonshire",2012,21543,21149
TLF2,"Leicestershire, Rutland and Northamptonshire",2013,21442,21171
TLF2,"Leicestershire, Rutland and Northamptonshire",2014,21507,21738
TLF2,"Leicestershire, Rutland and Northamptonshire",2015,22067,22429
TLF2,"Leicestershire, Rutland and Northamptonshire",2016,22099,22472
