itl_cd,itl_name,year,annual_births_lag5,headcount
TLC1,Tees Valley and Durham,2011,13491,13467
TLC1,Tees Valley and Durham,2012,13662,13508
TLC1,Tees Valley and Durham,2013,14192,13916
TLC1,Tees Valley and Durham,2014,13763,13512
TLC1,Tees Valley and Durham,2015,14273,14218
TLC1,Tees Valley and Durham,2016,14568,14476
TLC1,Tees Valley and Durham,2017,14333,14257
TLC1,Tees Valley and Durham,2018,14078,13982
TLC1,Tees Valley and Durham,2019,13467,13606
TLC1,Tees Valley and Durham,2020,13331,13312
TLC1,Tees Valley and Durham,2021,13147,13359
TLC1,Tees Valley and Durham,2022,12986,13049
TLC2,"Northumberland, and Tyne and Wear",2011,15431,14965
TLC2,"Northumberland, and Tyne and Wear",2012,15422,15066
TLC2,"Northumberland, and Tyne and Wear",2013,16177,15769
TLC2,"Northumberland, and Tyne and Wear",2014,15866,15634
TLC2,"Northumberland, and Tyne and Wear",2015,16030,15690
TLC2,"Northumberland, and Tyne and Wear",2016,16210,16065
TLC2,"Northumberland, and Tyne and Wear",2017,16105,16080
TLC2,"Northumberland, and Tyne and Wear",2018,15568,15578
TLC2,"Northumberland, and Tyne and Wear",2019,15414,15271
TLC2,"Northumberland, and Tyne and Wear",2020,14992,15077
TLC2,"Northumberland, and Tyne and Wear",2021,15435,15514
TLC2,"Northumberland, and Tyne and Wear",2022,14878,15054
TLD1,Cumbria,2011,4889,4925
TLD1,Cumbria,2012,4919,4989
TLD1,Cumbria,2013,5153,5067
TLD1,Cumbria,2014,5012,5165
TLD1,Cumbria,2015,5095,5144
TLD1,Cumbria,2016,5050,5171
TLD1,Cumbria,2017,5002,5028
TLD1,Cumbria,2018,4895,5060
TLD1,Cumbria,2019,4809,4924
TLD1,Cumbria,2020,4773,4892
TLD1,Cumbria,2021,4806,4954
TLD1,Cumbria,2022,4682,4836
TLD3,Greater Manchester,2011,34288,32779
TLD3,Greater Manchester,2012,35013,33732
TLD3,Greater Manchester,2013,36876,35042
TLD3,Greater Manchester,2014,36641,35631
TLD3,Greater Manchester,2015,37584,36259
TLD3,Greater Manchester,2016,37979,36874
TLD3,Greater Manchester,2017,37818,36955
TLD3,Greater Manchester,2018,37116,36476
TLD3,Greater Manchester,2019,36733,35671
TLD3,Greater Manchester,2020,36516,35535
TLD3,Greater Manchester,2021,37119,35795
TLD3,Greater Manchester,2022,36311,35367
TLD4,Lancashire,2011,17180,16597
TLD4,Lancashire,2012,17270,17132
TLD4,Lancashire,2013,18044,17627
