itl221cd,time_period,nc_year,full_time,part_time,headcount,fte
TLC1,201112,reception,13513,0,13513,13513
TLC1,201112,year_group_1,13467,0,13467,13467
TLC1,201112,year_group_10,13171,0,13171,13171
TLC1,201112,year_group_11,13095,0,13095,13095
TLC1,201112,year_group_12,3134,0,3134,3134
TLC1,201112,year_group_13,2649,0,2649,2649
TLC1,201112,year_group_14,2,0,2,2
TLC1,201112,year_group_2,13145,0,13145,13145
TLC1,201112,year_group_3,12789,0,12789,12789
TLC1,201112,year_group_4,12324,0,12324,12324
TLC1,201112,year_group_5,11807,0,11807,11807
TLC1,201112,year_group_6,11849,0,11849,11849
TLC1,201112,year_group_7,12103,0,12103,12103
TLC1,201112,year_group_8,12559,0,12559,12559
TLC1,201112,year_group_9,12677,0,12677,12677
TLC1,201213,reception,13879,12,13891,13885
TLC1,201213,year_group_1,13508,0,13508,13508
TLC1,201213,year_group_10,12640,0,12640,12640
TLC1,201213,year_group_11,13110,0,13110,13110
TLC1,201213,year_group_12,3176,0,3176,3176
TLC1,201213,year_group_13,2538,0,2538,2538
TLC1,201213,year_group_14,1,0,1,1
TLC1,201213,year_group_2,13438,0,13438,13438
TLC1,201213,year_group_3,13059,0,13059,13059
TLC1,201213,year_group_4,12744,0,12744,12744
TLC1,201213,year_group_5,12226,0,12226,12226
TLC1,201213,year_group_6,11785,0,11785,11785
TLC1,201213,year_group_7,11538,0,11538,11538
TLC1,201213,year_group_8,12099,0,12099,12099
TLC1,201213,year_group_9,12502,0,12502,12502
TLC1,201314,reception,13524,6,13530,13527
TLC1,201314,year_group_1,13916,0,13916,13916
TLC1,201314,year_group_10,12422,0,12422,12422
TLC1,201314,year_group_11,12531,0,12531,12531
TLC1,201314,year_group_12,3341,0,3341,3341
TLC1,201314,year_group_13,2519,0,2519,2519
TLC1,201314,year_group_14,21,0,21,21
TLC1,201314,year_group_2,13481,0,13481,13481
TLC1,201314,year_group_3,13422,0,13422,13422
TLC1,201314,year_group_4,13069,0,13069,13069
TLC1,201314,year_group_5,12685,0,12685,12685
TLC1,201314,year_group_6,12211,0,12211,12211
TLC1,201314,year_group_7,11527,0,11527,11527
TLC1,201314,year_group_8,11511,0,11511,11511
TLC1,201314,year_group_9,12073,0,12073,12073
TLC1,201415,reception,14074,13,14087,14080.5
TLC1,201415,year_group_1,13512,0,13512,13512
TLC1,201415,year_group_10,12043,0,12043,12043
TLC1,201415,year_group_11,12341,0,12341,12341
TLC1,201415,year_group_12,3353,1,3354,3353.5
TLC1,201415,year_group_13,2710,0,2710,2710
TLC1,201415,year_group_14,32,0,32,32
TLC1,201415,year_group_2,13913,0,13913,13913
TLC1,201415,year_group_3,13467,0,13467,13467
TLC1,201415,year_group_4,13408,0,13408,13408
TLC1,201415,year_group_5,13041,0,13041,13041
TLC1,201415,year_group_6,12652,0,12652,12652
TLC1,201415,year_group_7,11934,0,11934,11934
TLC1,201415,year_group_8,11555,0,11555,11555
TLC1,201415,year_group_9,11456,0,11456,11456
TLC1,201516,reception,14320,85,14405,14362.5
TLC1,201516,year_group_1,14218,0,14218,14218
TLC1,201516,year_group_10,11443,0,11443,11443
TLC1,201516,year_group_11,11951,0,11951,11951
TLC1,201516,year_group_12,3373,0,3373,3373
TLC1,201516,year_group_13,2713,0,2713,2713
TLC1,201516,year_group_14,24,0,24,24
TLC1,201516,year_group_2,13541,0,13541,13541
TLC1,201516,year_group_3,13979,0,13979,13979
TLC1,201516,year_group_4,13535,0,13535,13535
TLC1,201516,year_group_5,13480,0,13480,13480
TLC1,201516,year_group_6,13063,0,13063,13063
TLC1,201516,year_group_7,12454,0,12454,12454
TLC1,201516,year_group_8,11968,0,11968,11968
TLC1,201516,year_group_9,11520,0,11520,11520
TLC1,201617,reception,14220,12,14232,14226
TLC1,201617,year_group_1,14476,0,14476,14476
TLC1,201617,year_group_10,11455,0,11455,11455
TLC1,201617,year_group_11,11302,0,11302,11302
TLC1,201617,year_group_12,3050,0,3050,3050
TLC1,201617,year_group_13,2829,0,2829,2829
TLC1,201617,year_group_14,32,0,32,32
TLC1,201617,year_group_2,14264,0,14264,14264
TLC1,201617,year_group_3,13586,0,13586,13586
TLC1,201617,year_group_4,14023,0,14023,14023
TLC1,201617,year_group_5,13540,0,13540,13540
TLC1,201617,year_group_6,13461,0,13461,13461
TLC1,201617,year_group_7,12847,0,12847,12847
TLC1,201617,year_group_8,12431,0,12431,12431
TLC1,201617,year_group_9,11942,0,11942,11942
TLC1,201718,reception,13912,49,13961,13936.5
TLC1,201718,year_group_1,14257,0,14257,14257
TLC1,201718,year_group_10,11875,0,11875,11875
TLC1,201718,year_group_11,11261,0,11261,11261
TLC1,201718,year_group_12,2871,0,2871,2871
TLC1,201718,year_group_13,2530,0,2530,2530
TLC1,201718,year_group_14,31,0,31,31
TLC1,201718,year_group_2,14523,0,14523,14523
TLC1,201718,year_group_3,14277,0,14277,14277
TLC1,201718,year_group_4,13622,0,13622,13622
TLC1,201718,year_group_5,14010,0,14010,14010
TLC1,201718,year_group_6,13557,0,13557,13557
TLC1,201718,year_group_7,13093,0,13093,13093
TLC1,201718,year_group_8,12779,0,12779,12779
TLC1,201718,year_group_9,12375,0,12375,12375
TLC1,201819,reception,13504,99,13603,13553.5
TLC1,201819,year_group_1,13982,0,13982,13982
TLC1,201819,year_group_10,12286,0,12286,12286
TLC1,201819,year_group_11,11672,0,11672,11672
TLC1,201819,year_group_12,2756,0,2756,2756
TLC1,201819,year_group_13,2525,0,2525,2525
TLC1,201819,year_group_14,31,0,31,31
TLC1,201819,year_group_2,14324,0,14324,14324
TLC1,201819,year_group_3,14579,0,14579,14579
TLC1,201819,year_group_4,14294,0,14294,14294
TLC1,201819,year_group_5,13709,0,13709,13709
TLC1,201819,year_group_6,14002,0,14002,14002
TLC1,201819,year_group_7,13268,0,13268,13268
TLC1,201819,year_group_8,13060,0,13060,13060
