time_period,old_la_code,new_la_code,la_name,nc_year,full_time,part_time,headcount,fte
201112,201,E09000001,City of London,reception,30,0,30,30
201112,201,E09000001,City of London,year_group_1,30,0,30,30
201112,201,E09000001,City of London,year_group_10,0,0,0,0
201112,201,E09000001,City of London,year_group_11,0,0,0,0
201112,201,E09000001,City of London,year_group_12,0,0,0,0
201112,201,E09000001,City of London,year_group_13,0,0,0,0
201112,201,E09000001,City of London,year_group_14,0,0,0,0
201112,201,E09000001,City of London,year_group_2,30,0,30,30
201112,201,E09000001,City of London,year_group_3,29,0,29,29
201112,201,E09000001,City of London,year_group_4,29,0,29,29
201112,201,E09000001,City of London,year_group_5,30,0,30,30
201112,201,E09000001,City of London,year_group_6,30,0,30,30
201112,201,E09000001,City of London,year_group_7,0,0,0,0
201112,201,E09000001,City of London,year_group_8,0,0,0,0
201112,201,E09000001,City of London,year_group_9,0,0,0,0
201112,202,E09000007,Camden,reception,1584,0,1584,1584
201112,202,E09000007,Camden,year_group_1,1549,0,1549,1549
201112,202,E09000007,Camden,year_group_10,1534,0,1534,1534
201112,202,E09000007,Camden,year_group_11,1500,0,1500,1500
201112,202,E09000007,Camden,year_group_12,1426,0,1426,1426
201112,202,E09000007,Camden,year_group_13,1013,0,1013,1013
201112,202,E09000007,Camden,year_group_14,0,0,0,0
201112,202,E09000007,Camden,year_group_2,1546,0,1546,1546
201112,202,E09000007,Camden,year_group_3,1483,0,1483,1483
201112,202,E09000007,Camden,year_group_4,1471,0,1471,1471
201112,202,E09000007,Camden,year_group_5,1414,0,1414,1414
201112,202,E09000007,Camden,year_group_6,1457,0,1457,1457
201112,202,E09000007,Camden,year_group_7,1426,0,1426,1426
201112,202,E09000007,Camden,year_group_8,1405,0,1405,1405
201112,202,E09000007,Camden,year_group_9,1403,0,1403,1403
201112,203,E09000011,Greenwich,reception,3326,0,3326,3326
201112,203,E09000011,Greenwich,year_group_1,3136,0,3136,3136
201112,203,E09000011,Greenwich,year_group_10,2230,0,2230,2230
201112,203,E09000011,Greenwich,year_group_11,2252,0,2252,2252
201112,203,E09000011,Greenwich,year_group_12,1476,0,1476,1476
201112,203,E09000011,Greenwich,year_group_13,1583,0,1583,1583
201112,203,E09000011,Greenwich,year_group_14,12,0,12,12
201112,203,E09000011,Greenwich,year_group_2,2989,0,2989,2989
201112,203,E09000011,Greenwich,year_group_3,2840,0,2840,2840
201112,203,E09000011,Greenwich,year_group_4,2693,0,2693,2693
201112,203,E09000011,Greenwich,year_group_5,2532,0,2532,2532
201112,203,E09000011,Greenwich,year_group_6,2480,0,2480,2480
201112,203,E09000011,Greenwich,year_group_7,2169,0,2169,2169
201112,203,E09000011,Greenwich,year_group_8,2153,0,2153,2153
201112,203,E09000011,Greenwich,year_group_9,2204,0,2204,2204
201112,204,E09000012,Hackney,reception,2571,1,2572,2571.5
201112,204,E09000012,Hackney,year_group_1,2619,0,2619,2619
201112,204,E09000012,Hackney,year_group_10,1653,0,1653,1653
201112,204,E09000012,Hackney,year_group_11,1702,0,1702,1702
201112,204,E09000012,Hackney,year_group_12,702,0,702,702
201112,204,E09000012,Hackney,year_group_13,365,0,365,365
201112,204,E09000012,Hackney,year_group_14,26,0,26,26
201112,204,E09000012,Hackney,year_group_2,2463,0,2463,2463
201112,204,E09000012,Hackney,year_group_3,2368,0,2368,2368
201112,204,E09000012,Hackney,year_group_4,2350,0,2350,2350
201112,204,E09000012,Hackney,year_group_5,2091,0,2091,2091
201112,204,E09000012,Hackney,year_group_6,2190,0,2190,2190
201112,204,E09000012,Hackney,year_group_7,2060,0,2060,2060
201112,204,E09000012,Hackney,year_group_8,1998,0,1998,1998
201112,204,E09000012,Hackney,year_group_9,1794,0,1794,1794
201112,205,E09000013,Hammersmith and Fulham,reception,1481,0,1481,1481
201112,205,E09000013,Hammersmith and Fulham,year_group_1,1441,0,1441,1441
201112,205,E09000013,Hammersmith and Fulham,year_group_10,1211,0,1211,1211
201112,205,E09000013,Hammersmith and Fulham,year_group_11,1131,0,1131,1131
201112,205,E09000013,Hammersmith and Fulham,year_group_12,1083,0,1083,1083
201112,205,E09000013,Hammersmith and Fulham,year_group_13,657,0,657,657
201112,205,E09000013,Hammersmith and Fulham,year_group_14,0,0,0,0
201112,205,E09000013,Hammersmith and Fulham,year_group_2,1387,0,1387,1387
201112,205,E09000013,Hammersmith and Fulham,year_group_3,1303,0,1303,1303
201112,205,E09000013,Hammersmith and Fulham,year_group_4,1225,0,1225,1225
201112,205,E09000013,Hammersmith and Fulham,year_group_5,1172,0,1172,1172
201112,205,E09000013,Hammersmith and Fulham,year_group_6,1154,0,1154,1154
201112,205,E09000013,Hammersmith and Fulham,year_group_7,1356,0,1356,1356
201112,205,E09000013,Hammersmith and Fulham,year_group_8,1117,0,1117,1117
201112,205,E09000013,Hammersmith and Fulham,year_group_9,1115,0,1115,1115
201112,206,E09000019,Islington,reception,2017,3,2020,2018.5
201112,206,E09000019,Islington,year_group_1,1901,0,1901,1901
201112,206,E09000019,Islington,year_group_10,1601,0,1601,1601
201112,206,E09000019,Islington,year_group_11,1604,0,1604,1604
201112,206,E09000019,Islington,year_group_12,485,0,485,485
201112,206,E09000019,Islington,year_group_13,250,0,250,250
201112,206,E09000019,Islington,year_group_14,0,0,0,0
201112,206,E09000019,Islington,year_group_2,1820,0,1820,1820
201112,206,E09000019,Islington,year_group_3,1803,0,1803,1803
201112,206,E09000019,Islington,year_group_4,1744,0,1744,1744
201112,206,E09000019,Islington,year_group_5,1702,0,1702,1702
201112,206,E09000019,Islington,year_group_6,1720,0,1720,1720
201112,206,E09000019,Islington,year_group_7,1465,0,1465,1465
201112,206,E09000019,Islington,year_group_8,1481,0,1481,1481
201112,206,E09000019,Islington,year_group_9,1529,0,1529,1529
201112,207,E09000020,Kensington and Chelsea,reception,1013,1,1014,1013.5
201112,207,E09000020,Kensington and Chelsea,year_group_1,971,0,971,971
201112,207,E09000020,Kensington and Chelsea,year_group_10,617,0,617,617
201112,207,E09000020,Kensington and Chelsea,year_group_11,608,0,608,608
201112,207,E09000020,Kensington and Chelsea,year_group_12,357,0,357,357
201112,207,E09000020,Kensington and Chelsea,year_group_13,208,0,208,208
201112,207,E09000020,Kensington and Chelsea,year_group_14,0,0,0,0
201112,207,E09000020,Kensington and Chelsea,year_group_2,961,0,961,961
201112,207,E09000020,Kensington and Chelsea,year_group_3,955,0,955,955
201112,207,E09000020,Kensington and Chelsea,year_group_4,905,0,905,905
201112,207,E09000020,Kensington and Chelsea,year_group_5,908,0,908,908
201112,207,E09000020,Kensington and Chelsea,year_group_6,877,0,877,877
201112,207,E09000020,Kensington and Chelsea,year_group_7,739,0,739,739
201112,207,E09000020,Kensington and Chelsea,year_group_8,764,0,764,764
201112,207,E09000020,Kensington and Chelsea,year_group_9,771,0,771,771
201112,208,E09000022,Lambeth,reception,3153,3,3156,3154.5
201112,208,E09000022,Lambeth,year_group_1,3060,0,3060,3060
201112,208,E09000022,Lambeth,year_group_10,1935,0,1935,1935
201112,208,E09000022,Lambeth,year_group_11,1797,0,1797,1797
201112,208,E09000022,Lambeth,year_group_12,657,0,657,657
201112,208,E09000022,Lambeth,year_group_13,499,0,499,499
201112,208,E09000022,Lambeth,year_group_14,3,0,3,3
201112,208,E09000022,Lambeth,year_group_2,2922,0,2922,2922
201112,208,E09000022,Lambeth,year_group_3,2812,0,2812,2812
201112,208,E09000022,Lambeth,year_group_4,2722,0,2722,2722
201112,208,E09000022,Lambeth,year_group_5,2524,0,2524,2524
201112,208,E09000022,Lambeth,year_group_6,2499,0,2499,2499
201112,208,E09000022,Lambeth,year_group_7,1948,0,1948,1948
201112,208,E09000022,Lambeth,year_group_8,1960,0,1960,1960
201112,208,E09000022,Lambeth,year_group_9,1958,0,1958,1958
201112,209,E09000023,Lewisham,reception,3601,0,3601,3601
201112,209,E09000023,Lewisham,year_group_1,3550,0,3550,3550
201112,209,E09000023,Lewisham,year_group_10,2407,0,2407,2407
201112,209,E09000023,Lewisham,year_group_11,2273,0,2273,2273
201112,209,E09000023,Lewisham,year_group_12,1121,0,1121,1121
201112,209,E09000023,Lewisham,year_group_13,846,0,846,846
201112,209,E09000023,Lewisham,year_group_14,25,0,25,25
201112,209,E09000023,Lewisham,year_group_2,3279,0,3279,3279
201112,209,E09000023,Lewisham,year_group_3,3032,0,3032,3032
201112,209,E09000023,Lewisham,year_group_4,2912,0,2912,2912
201112,209,E09000023,Lewisham,year_group_5,2758,0,2758,2758
201112,209,E09000023,Lewisham,year_group_6,2610,0,2610,2610
201112,209,E09000023,Lewisham,year_group_7,2413,0,2413,2413
201112,209,E09000023,Lewisham,year_group_8,2190,0,2190,2190
201112,209,E09000023,Lewisham,year_group_9,2224,0,2224,2224
201112,210,E09000028,Southwark,reception,3354,2,3356,3355
201112,210,E09000028,Southwark,year_group_1,3225,0,3225,3225
201112,210,E09000028,Southwark,year_group_10,2420,0,2420,2420
201112,210,E09000028,Southwark,year_group_11,2314,0,2314,2314
201112,210,E09000028,Southwark,year_group_12,754,0,754,754
201112,210,E09000028,Southwark,year_group_13,551,0,551,551
201112,210,E09000028,Southwark,year_group_14,36,0,36,36
201112,210,E09000028,Southwark,year_group_2,3211,0,3211,3211
