year_lag1,itl221cd,current_nc_year,previous_nc_year,previous_headcount
2012,TLC1,reception,,13513
2013,TLC1,reception,,13891
2014,TLC1,reception,,13530
2015,TLC1,reception,,14087
2016,TLC1,reception,,14405
2017,TLC1,reception,,14232
2018,TLC1,reception,,13961
2019,TLC1,reception,,13603
2020,TLC1,reception,,13352
2021,TLC1,reception,,13209
2022,TLC1,reception,,12900
2023,TLC1,reception,,12786
2012,TLD7,reception,,16557
2013,TLD7,reception,,17174
2014,TLD7,reception,,16937
2015,TLD7,reception,,17207
2016,TLD7,reception,,17660
2017,TLD7,reception,,18044
2018,TLD7,reception,,17426
2019,TLD7,reception,,17319
2020,TLD7,reception,,17473
2021,TLD7,reception,,17312
2022,TLD7,reception,,17388
2023,TLD7,reception,,16896
2012,TLD6,reception,,10071
2013,TLD6,reception,,10502
2014,TLD6,reception,,10192
2015,TLD6,reception,,10515
2016,TLD6,reception,,10681
2017,TLD6,reception,,10726
2018,TLD6,reception,,10327
2019,TLD6,reception,,10265
2020,TLD6,reception,,10312
2021,TLD6,reception,,10267
2022,TLD6,reception,,10106
2023,TLD6,reception,,10088
2012,TLD4,reception,,17098
2013,TLD4,reception,,17564
2014,TLD4,reception,,17459
2015,TLD4,reception,,17575
2016,TLD4,reception,,17958
2017,TLD4,reception,,17839
2018,TLD4,reception,,17667
2019,TLD4,reception,,17350
2020,TLD4,reception,,17387
2021,TLD4,reception,,17290
2022,TLD4,reception,,16933
2023,TLD4,reception,,16521
2012,TLE1,reception,,10328
2013,TLE1,reception,,10522
2014,TLE1,reception,,10529
2015,TLE1,reception,,10715
2016,TLE1,reception,,10790
2017,TLE1,reception,,11227
2018,TLE1,reception,,10777
2019,TLE1,reception,,10265
2020,TLE1,reception,,10456
2021,TLE1,reception,,10153
2022,TLE1,reception,,10019
2023,TLE1,reception,,9853
2012,TLE2,reception,,7679
2013,TLE2,reception,,8186
2014,TLE2,reception,,7959
2015,TLE2,reception,,8093
2016,TLE2,reception,,8194
2017,TLE2,reception,,8098
2018,TLE2,reception,,7917
2019,TLE2,reception,,7867
2020,TLE2,reception,,7729
2021,TLE2,reception,,7745
2022,TLE2,reception,,7575
2023,TLE2,reception,,7400
2012,TLF1,reception,,23844
2013,TLF1,reception,,24839
2014,TLF1,reception,,24711
2015,TLF1,reception,,24937
2016,TLF1,reception,,25604
2017,TLF1,reception,,25693
2018,TLF1,reception,,24825
2019,TLF1,reception,,24379
2020,TLF1,reception,,24339
2021,TLF1,reception,,24226
2022,TLF1,reception,,23707
2023,TLF1,reception,,23123
2012,TLF2,reception,,20500
2013,TLF2,reception,,21149
2014,TLF2,reception,,21171
2015,TLF2,reception,,21738
2016,TLF2,reception,,22429
2017,TLF2,reception,,22472
2018,TLF2,reception,,22099
2019,TLF2,reception,,21696
2020,TLF2,reception,,21952
2021,TLF2,reception,,21716
2022,TLF2,reception,,21213
2023,TLF2,reception,,21221
2012,TLG1,reception,,13801
2013,TLG1,reception,,14037
2014,TLG1,reception,,13953
2015,TLG1,reception,,14331
2016,TLG1,reception,,14813
2017,TLG1,reception,,14914
2018,TLG1,reception,,14715
2019,TLG1,reception,,14324
2020,TLG1,reception,,14281
2021,TLG1,reception,,14204
2022,TLG1,reception,,14007
2023,TLG1,reception,,14230
2012,TLG2,reception,,17185
2013,TLG2,reception,,17748
2014,TLG2,reception,,17391
2015,TLG2,reception,,17545
2016,TLG2,reception,,18100
2017,TLG2,reception,,18022
2018,TLG2,reception,,17958
2019,TLG2,reception,,17697
2020,TLG2,reception,,17249
2021,TLG2,reception,,17491
2022,TLG2,reception,,17199
2023,TLG2,reception,,17074
2012,TLK1,reception,,26176
2013,TLK1,reception,,27381
2014,TLK1,reception,,27114
2015,TLK1,reception,,28069
2016,TLK1,reception,,28817
2017,TLK1,reception,,28979
2018,TLK1,reception,,28353
2019,TLK1,reception,,27678
2020,TLK1,reception,,27582
2021,TLK1,reception,,27565
2022,TLK1,reception,,26746
2023,TLK1,reception,,26487
2012,TLK4,reception,,11547
2013,TLK4,reception,,11677
2014,TLK4,reception,,11941
2015,TLK4,reception,,12064
2016,TLK4,reception,,12559
2017,TLK4,reception,,12578
2018,TLK4,reception,,12092
2019,TLK4,reception,,12064
2020,TLK4,reception,,11732
2021,TLK4,reception,,11643
2022,TLK4,reception,,11353
2023,TLK4,reception,,11242
2012,TLH1,reception,,25795
2013,TLH1,reception,,26776
2014,TLH1,reception,,26849
2015,TLH1,reception,,27273
2016,TLH1,reception,,28151
2017,TLH1,reception,,28426
2018,TLH1,reception,,27610
2019,TLH1,reception,,26833
2020,TLH1,reception,,27020
2021,TLH1,reception,,26720
2022,TLH1,reception,,26021
2023,TLH1,reception,,25766
2012,TLH2,reception,,21791
2013,TLH2,reception,,22965
2014,TLH2,reception,,22736
2015,TLH2,reception,,23442
2016,TLH2,reception,,24214
2017,TLH2,reception,,23961
2018,TLH2,reception,,23376
2019,TLH2,reception,,23088
2020,TLH2,reception,,22965
2021,TLH2,reception,,23129
2022,TLH2,reception,,22846
2023,TLH2,reception,,22794
2012,TLH3,reception,,19786
2013,TLH3,reception,,20385
2014,TLH3,reception,,20458
2015,TLH3,reception,,20961
2016,TLH3,reception,,21407
2017,TLH3,reception,,21572
2018,TLH3,reception,,21255
2019,TLH3,reception,,21210
2020,TLH3,reception,,21209
2021,TLH3,reception,,21378
2022,TLH3,reception,,21293
2023,TLH3,reception,,21171
2012,TLJ4,reception,,19708
2013,TLJ4,reception,,20251
2014,TLJ4,reception,,20640
2015,TLJ4,reception,,20942
2016,TLJ4,reception,,21431
2017,TLJ4,reception,,21952
2018,TLJ4,reception,,21204
2019,TLJ4,reception,,21075
2020,TLJ4,reception,,21122
2021,TLJ4,reception,,21257
2022,TLJ4,reception,,21288
2023,TLJ4,reception,,21296
2012,TLJ1,reception,,27256
2013,TLJ1,reception,,28787
2014,TLJ1,reception,,28428
2015,TLJ1,reception,,29258
2016,TLJ1,reception,,30172
2017,TLJ1,reception,,29869
2018,TLJ1,reception,,29062
2019,TLJ1,reception,,28100
2020,TLJ1,reception,,28310
2021,TLJ1,reception,,28516
2022,TLJ1,reception,,27912
2023,TLJ1,reception,,28071
2012,TLJ2,reception,,29098
2013,TLJ2,reception,,30195
2014,TLJ2,reception,,29991
2015,TLJ2,reception,,30681
2016,TLJ2,reception,,31339
2017,TLJ2,reception,,31374
2018,TLJ2,reception,,30184
2019,TLJ2,reception,,29718
2020,TLJ2,reception,,29769
2021,TLJ2,reception,,29580
2022,TLJ2,reception,,28790
2023,TLJ2,reception,,28839
2012,TLJ3,reception,,20668
2013,TLJ3,reception,,21352
2014,TLJ3,reception,,21229
2015,TLJ3,reception,,21768
2016,TLJ3,reception,,22503
2017,TLJ3,reception,,22549
2018,TLJ3,reception,,21886
2019,TLJ3,reception,,21510
2020,TLJ3,reception,,21445
2021,TLJ3,reception,,21210
2022,TLJ3,reception,,20559
2023,TLJ3,reception,,20264
2012,TLK3,reception,,5463
2013,TLK3,reception,,5466
2014,TLK3,reception,,5628
2015,TLK3,reception,,5671
2016,TLK3,reception,,6007
2017,TLK3,reception,,6026
2018,TLK3,reception,,5937
2019,TLK3,reception,,5697
