year,itl22cd,nc_year,projected_proportion_continuing
2023,TLC1,year_group_10,0.995434633057795
2024,TLC1,year_group_10,0.995434633057795
2025,TLC1,year_group_10,0.995434633057795
2026,TLC1,year_group_10,0.995434633057795
2027,TLC1,year_group_10,0.995434633057795
2028,TLC1,year_group_10,0.995434633057795
2029,TLC1,year_group_10,0.995434633057795
2030,TLC1,year_group_10,0.995434633057795
2031,TLC1,year_group_10,0.995434633057795
2032,TLC1,year_group_10,0.995434633057795
2023,TLC2,year_group_10,0.999044482704398
2024,TLC2,year_group_10,0.999044482704398
2025,TLC2,year_group_10,0.999044482704398
2026,TLC2,year_group_10,0.999044482704398
2027,TLC2,year_group_10,0.999044482704398
2028,TLC2,year_group_10,0.999044482704398
2029,TLC2,year_group_10,0.999044482704398
2030,TLC2,year_group_10,0.999044482704398
2031,TLC2,year_group_10,0.999044482704398
2032,TLC2,year_group_10,0.999044482704398
2023,TLD1,year_group_10,1.00480411021577
2024,TLD1,year_group_10,1.00480411021577
2025,TLD1,year_group_10,1.00480411021577
2026,TLD1,year_group_10,1.00480411021577
2027,TLD1,year_group_10,1.00480411021577
2028,TLD1,year_group_10,1.00480411021577
2029,TLD1,year_group_10,1.00480411021577
2030,TLD1,year_group_10,1.00480411021577
2031,TLD1,year_group_10,1.00480411021577
2032,TLD1,year_group_10,1.00480411021577
2023,TLD3,year_group_10,1.00507995242367
2024,TLD3,year_group_10,1.00507995242367
2025,TLD3,year_group_10,1.00507995242367
2026,TLD3,year_group_10,1.00507995242367
2027,TLD3,year_group_10,1.00507995242367
2028,TLD3,year_group_10,1.00507995242367
2029,TLD3,year_group_10,1.00507995242367
2030,TLD3,year_group_10,1.00507995242367
2031,TLD3,year_group_10,1.00507995242367
2032,TLD3,year_group_10,1.00507995242367
2023,TLD4,year_group_10,0.998864363241463
2024,TLD4,year_group_10,0.998864363241463
2025,TLD4,year_group_10,0.998864363241463
2026,TLD4,year_group_10,0.998864363241463
2027,TLD4,year_group_10,0.998864363241463
2028,TLD4,year_group_10,0.998864363241463
2029,TLD4,year_group_10,0.998864363241463
2030,TLD4,year_group_10,0.998864363241463
2031,TLD4,year_group_10,0.998864363241463
2032,TLD4,year_group_10,0.998864363241463
2023,TLD6,year_group_10,1.01469260746757
2024,TLD6,year_group_10,1.01469260746757
2025,TLD6,year_group_10,1.01469260746757
2026,TLD6,year_group_10,1.01469260746757
2027,TLD6,year_group_10,1.01469260746757
2028,TLD6,year_group_10,1.01469260746757
2029,TLD6,year_group_10,1.01469260746757
2030,TLD6,year_group_10,1.01469260746757
2031,TLD6,year_group_10,1.01469260746757
2032,TLD6,year_group_10,1.01469260746757
2023,TLD7,year_group_10,1.01287754348462
2024,TLD7,year_group_10,1.01287754348462
2025,TLD7,year_group_10,1.01287754348462
2026,TLD7,year_group_10,1.01287754348462
2027,TLD7,year_group_10,1.01287754348462
