year,itl22cd,nc_year,headcount,previous_headcount,proportion_continuing
2012,TLC1,year_group_1,13508,13513,0.999629985939466
2012,TLC1,year_group_10,12640,12677,0.997081328389998
2012,TLC1,year_group_11,13110,13171,0.99536861286159
2012,TLC1,year_group_12,3176,13095,0.242535318823979
2012,TLC1,year_group_13,2538,3134,0.809827696234844
2012,TLC1,year_group_14,1,2649,0.000377500943752359
2012,TLC1,year_group_2,13438,13467,0.997846587955744
2012,TLC1,year_group_3,13059,13145,0.993457588436668
2012,TLC1,year_group_4,12744,12789,0.996481351161154
2012,TLC1,year_group_5,12226,12324,0.992048036351834
2012,TLC1,year_group_6,11785,11807,0.998136698568646
2012,TLC1,year_group_7,11538,11849,0.973753059329901
2012,TLC1,year_group_8,12099,12103,0.999669503428902
2012,TLC1,year_group_9,12502,12559,0.995461422087746
2013,TLC1,year_group_1,13916,13891,1.00179972644158
2013,TLC1,year_group_10,12422,12502,0.993601023836186
2013,TLC1,year_group_11,12531,12640,0.991376582278481
2013,TLC1,year_group_12,3341,13110,0.254843630816171
2013,TLC1,year_group_13,2519,3176,0.793136020151134
2013,TLC1,year_group_14,21,2538,0.008274231678487
2013,TLC1,year_group_2,13481,13508,0.998001184483269
2013,TLC1,year_group_3,13422,13438,0.998809346628963
2013,TLC1,year_group_4,13069,13059,1.00076575541772
2013,TLC1,year_group_5,12685,12744,0.99537037037037
2013,TLC1,year_group_6,12211,12226,0.998773106494356
2013,TLC1,year_group_7,11527,11785,0.978107764106916
2013,TLC1,year_group_8,11511,11538,0.997659906396256
2013,TLC1,year_group_9,12073,12099,0.997851062071246
2014,TLC1,year_group_1,13512,13530,0.998669623059867
2014,TLC1,year_group_10,12043,12073,0.997515116375383
2014,TLC1,year_group_11,12341,12422,0.993479310900016
2014,TLC1,year_group_12,3354,12531,0.26765621259277
2014,TLC1,year_group_13,2710,3341,0.811134390900928
2014,TLC1,year_group_14,32,2519,0.0127034537514887
2014,TLC1,year_group_2,13913,13916,0.999784420810578
2014,TLC1,year_group_3,13467,13481,0.998961501372302
2014,TLC1,year_group_4,13408,13422,0.998956936373119
2014,TLC1,year_group_5,13041,13069,0.997857525441885
2014,TLC1,year_group_6,12652,12685,0.997398502167915
2014,TLC1,year_group_7,11934,12211,0.977315535173205
2014,TLC1,year_group_8,11555,11527,1.00242907955236
2014,TLC1,year_group_9,11456,11511,0.995221961601946
2015,TLC1,year_group_1,14218,14087,1.00929935401434
2015,TLC1,year_group_10,11443,11456,0.998865223463687
2015,TLC1,year_group_11,11951,12043,0.992360707464917
2015,TLC1,year_group_12,3373,12341,0.273316586986468
2015,TLC1,year_group_13,2713,3354,0.808884913536076
2015,TLC1,year_group_14,24,2710,0.00885608856088561
2015,TLC1,year_group_2,13541,13512,1.00214624037892
2015,TLC1,year_group_3,13979,13913,1.00474376482427
2015,TLC1,year_group_4,13535,13467,1.00504937996584
2015,TLC1,year_group_5,13480,13408,1.00536992840095
2015,TLC1,year_group_6,13063,13041,1.00168698719423
2015,TLC1,year_group_7,12454,12652,0.984350300347771
2015,TLC1,year_group_8,11968,11934,1.002849002849
2015,TLC1,year_group_9,11520,11555,0.996971008221549
2016,TLC1,year_group_1,14476,14405,1.00492884415134
2016,TLC1,year_group_10,11455,11520,0.994357638888889
2016,TLC1,year_group_11,11302,11443,0.987678056453727
2016,TLC1,year_group_12,3050,11951,0.255208769140658
2016,TLC1,year_group_13,2829,3373,0.838719241031722
2016,TLC1,year_group_14,32,2713,0.0117950608182823
2016,TLC1,year_group_2,14264,14218,1.00323533549022
2016,TLC1,year_group_3,13586,13541,1.00332324052876
2016,TLC1,year_group_4,14023,13979,1.00314757851062
2016,TLC1,year_group_5,13540,13535,1.00036941263391
2016,TLC1,year_group_6,13461,13480,0.998590504451039
2016,TLC1,year_group_7,12847,13063,0.983464747760851
2016,TLC1,year_group_8,12431,12454,0.998153203789947
2016,TLC1,year_group_9,11942,11968,0.997827540106952
2017,TLC1,year_group_1,14257,14232,1.00175660483418
