year,itl22cd,mean_projection,upper_pi,lower_pi
2023,TLC1,12290.1136162499,12432.1377589936,12212.7009148142
2024,TLC1,11963.711881368,12123.1796191481,11882.6054204191
2025,TLC1,11378.8702387261,11549.4553773135,11294.7590128704
2026,TLC1,11796.7362733874,11992.1439088192,11699.437908846
2027,TLC1,11342.4653823412,11659.4649289397,11130.4453256121
2028,TLC1,11115.33397408,11454.4461239512,10884.3300883496
2029,TLC1,10892.7508430124,11254.3691817745,10644.3358501461
2030,TLC1,10674.6249104736,11055.871349564,10406.2089423883
2031,TLC1,10460.8669216371,10862.8182852695,10174.5855552384
2032,TLC1,10251.389408993,10671.5612988934,9950.92802449475
2023,TLC2,14434.2267990106,14544.053594397,14319.5868369524
2024,TLC2,13635.9009263856,13754.6297063391,13512.6032294119
2025,TLC2,13726.3119298926,13862.6440760575,13590.3877686515
2026,TLC2,13878.3604245907,14032.2785376969,13726.0701875002
2027,TLC2,13504.3935424562,13825.9235906395,13193.3265228467
2028,TLC2,13306.549022713,13671.0211673787,12968.0429028637
2029,TLC2,13111.6030006972,13514.2803442617,12750.0942202159
2030,TLC2,12919.5130123108,13364.36976945,12537.8448049807
2031,TLC2,12730.237215571,13214.0623658958,12330.5993959261
2032,TLC2,12543.734381496,13061.3974956914,12124.5234860219
2023,TLD1,4556.63993502708,4607.11309874732,4500.40713888211
2024,TLD1,4308.04506407393,4361.07690311087,4249.47590436488
2025,TLD1,4298.7354875218,4357.66160193157,4233.262494092
2026,TLD1,4310.24737108354,4377.24149966149,4237.56053458481
2027,TLD1,4221.84418414242,4353.81671190183,4096.72150837536
2028,TLD1,4151.67015277801,4294.4525865802,4015.15544882556
2029,TLD1,4082.66252985104,4236.85349195404,3938.91108157422
2030,TLD1,4014.80192772456,4180.51840018494,3863.30408442858
2031,TLD1,3948.06928101622,4124.58183418655,3786.53105056213
2032,TLD1,3882.44584124184,4067.3878583984,3709.81912571975
2023,TLD3,33555.543320275,33959.2397922904,33081.2862367872
2024,TLD3,32850.9154297373,33290.3508107592,32345.6385217964
2025,TLD3,31659.1829637542,32127.4661560145,31124.8918260315
2026,TLD3,32623.937327548,33157.0458509739,32019.6896090606
2027,TLD3,32018.940501277,32930.3413856461,31095.7534092239
2028,TLD3,31657.594714851,32646.9944457423,30647.4542255282
2029,TLD3,31300.3268515331,32356.7644868952,30212.2583857155
2030,TLD3,30947.0908904273,32096.1956752804,29810.0713517855
2031,TLD3,30597.8413300006,31811.2885183263,29374.7420680279
2032,TLD3,30252.5331822221,31528.1877798784,28958.6254495361
2023,TLD4,16568.0633515585,16709.413561931,16426.3769553719
2024,TLD4,16011.9141778634,16166.0302568586,15856.323291846
2025,TLD4,15488.1263339817,15654.054065658,15321.1954328685
2026,TLD4,16050.2834439362,16239.9005145928,15857.1672679496
2027,TLD4,15643.5110631018,16019.0817968424,15273.8267909069
2028,TLD4,15461.425637072,15862.7794012527,15051.984489702
2029,TLD4,15281.4596267053,15716.4463349751,14840.2304114244
2030,TLD4,15103.5883626865,15574.3598227409,14630.3393586007
2031,TLD4,14927.7874628434,15434.531942305,14416.3545844749
2032,TLD4,14754.0328288044,15291.8395221913,14203.9524379386
2023,TLD6,9657.24978420111,9777.96968603259,9542.31674589015
2024,TLD6,9690.61669194567,9824.92322028007,9563.44429449005
2025,TLD6,9428.96489173592,9574.03734199602,9292.73497640061
2026,TLD6,9772.87793257718,9938.44849280465,9615.45877307128
2027,TLD6,9436.09952702942,9695.01207034329,9201.47277925208
2028,TLD6,9336.61110064823,9616.23448087226,9083.23315801008
2029,TLD6,9238.17161900903,9543.88648992065,8959.59398996173
2030,TLD6,9140.770022684,9477.39449743898,8844.940490743
2031,TLD6,9044.3953688491,9401.04116734363,8731.40778117946
2032,TLD6,8949.03683005469,9329.30555920086,8614.82010232475
2023,TLD7,16503.1693558365,16712.3066975862,16285.3612932611
2024,TLD7,15699.6310695057,15908.31021086,15473.696210854
2025,TLD7,15423.9644706899,15638.7515828261,15182.871458746
2026,TLD7,15846.3901749326,16080.5699658872,15578.8295056268
2027,TLD7,15621.78318285,16211.0497527201,14988.7278039565
2028,TLD7,15458.672328258,16084.247723045,14785.6573496582
2029,TLD7,15297.2645539466,15985.231943461,14565.1801740992
2030,TLD7,15137.5420776385,15861.5669557162,14358.2184622562
2031,TLD7,14979.4873027254,15736.7744641587,14139.6617536036
2032,TLD7,14823.0828163298,15627.1097243088,13931.2560043142
2023,TLE1,9293.2085261107,9405.42251447311,9167.79504982941
2024,TLE1,9238.75025306624,9364.82142274866,9100.74354239087
2025,TLE1,8847.08951265528,8982.72307309215,8700.8531764824
2026,TLE1,9039.55994550621,9192.30303289182,8872.63149004632
2027,TLE1,8779.61459208115,9049.34716484237,8518.28722890481
