itl22cd,year,nc_year,pupil_number,upper_pi,lower_pi
TLC1,2023,year_group_10,13147.7006334274,13156.3768731045,13105.3070648621
TLC1,2024,year_group_10,13746.2965434668,13757.075665535,13700.3168681266
TLC1,2025,year_group_10,14107.8866184359,14141.1250064243,14052.8567661048
TLC1,2026,year_group_10,13953.9716136502,13995.6889666743,13871.476745827
TLC1,2027,year_group_10,13728.6318527781,13847.4994054077,13654.9691734949
TLC1,2028,year_group_10,13446.5596482598,13564.4977980355,13292.852720935
TLC1,2029,year_group_10,13241.4886302486,13388.2067404457,13086.3243456073
TLC1,2030,year_group_10,13358.7205991137,13444.2245737588,13102.3563340789
TLC1,2031,year_group_10,13048.7201949952,13102.1373222465,12686.2410678948
TLC1,2032,year_group_10,12620.9958886793,12684.9999146136,12240.7925613424
TLC1,2023,year_group_11,13237.1001010052,13322.9573124911,13208.8091666496
TLC1,2024,year_group_11,12930.933158684,13009.1434842365,12880.8137796797
TLC1,2025,year_group_11,13519.6599572014,13603.7713214861,13465.932070778
TLC1,2026,year_group_11,13875.2884599056,13978.8060718942,13822.2242412621
TLC1,2027,year_group_11,13723.911067425,13832.4615925058,13656.4744122537
TLC1,2028,year_group_11,13502.2865060609,13673.3072882544,13442.592192421
TLC1,2029,year_group_11,13224.8648546068,13386.8485994402,13096.0363527038
TLC1,2030,year_group_11,13023.1748632828,13220.5184118405,12898.7327036143
TLC1,2031,year_group_11,13138.474016779,13279.4958927921,12911.100141869
TLC1,2032,year_group_11,12833.5846207861,12933.3683778474,12500.9039339044
TLC1,2023,year_group_2,13244.3519430805,13314.2456503266,13072.7876963163
TLC1,2024,year_group_2,12810.2150190907,12914.8763731896,12600.8915699519
TLC1,2025,year_group_2,12485.0209819766,12588.4585146625,12274.1338936022
TLC1,2026,year_group_2,12150.2265564291,12261.9295760383,11936.3477733247
TLC1,2027,year_group_2,11553.2089245864,11665.7297315699,11341.8062265608
TLC1,2028,year_group_2,11974.3074369993,12096.8278874769,11748.3410189308
TLC1,2029,year_group_2,11510.1517126237,11712.849403792,11225.259735698
TLC1,2030,year_group_2,11276.6773206884,11495.266128876,10976.4668022132
TLC1,2031,year_group_2,11047.9387735144,11276.4550250154,10733.2293819537
TLC1,2032,year_group_2,10823.8400082084,11063.3560686307,10495.3012133907
TLC1,2023,year_group_3,13701.2377930167,13724.8141304155,13564.6318862599
TLC1,2024,year_group_3,13383.2889878714,13401.6790188595,13099.0643636167
TLC1,2025,year_group_3,12944.5978432211,12985.0140275754,12639.1674580025
TLC1,2026,year_group_3,12615.9924275288,12662.8581434534,12311.7046831424
TLC1,2027,year_group_3,12277.6859125791,12328.2125777998,11971.0703284271
TLC1,2028,year_group_3,11674.405394805,11727.3090056017,11377.6986646375
TLC1,2029,year_group_3,12099.9213512069,12162.3122307894,11782.3388999831
TLC1,2030,year_group_3,11630.8965003581,11773.9347650528,11273.8723895128
TLC1,2031,year_group_3,11394.9728951892,11555.7778014486,11024.3109310899
TLC1,2032,year_group_3,11163.8348151494,11333.236686744,10776.8750843629
TLC1,2023,year_group_4,13605.2947148597,13734.7507629826,13575.0058829234
TLC1,2024,year_group_4,13725.7475982892,13801.4301661133,13575.0525715617
TLC1,2025,year_group_4,13407.2300223936,13455.6578413445,13118.4770096237
TLC1,2026,year_group_4,12967.7541140093,13042.6269303526,12659.6300705478
