year,itl22cd,mean_projection,upper_pi,lower_pi
2023,TLC1,13452.1959259,13766.3308246657,13132.0145431709
2024,TLC1,13153.5657748111,13628.1526827908,12678.2748740269
2025,TLC1,12755.14964789,13497.7734215253,12164.8589855606
2026,TLC1,12391.2122095049,13220.6685327101,11590.4628557441
2027,TLC1,11343.4106267328,12210.9604222226,10494.5432451247
2028,TLC1,10872.5419670999,11783.0562595442,9970.30261230073
2029,TLC1,10405.9269791294,11352.8898461415,9471.79503180661
2030,TLC1,9730.91338713774,10685.4322967524,8774.67301377142
2031,TLC1,9918.72766608009,10967.5704164201,8854.76480422197
2032,TLC1,9376.5093661242,10493.0741823987,8319.81738682759
2023,TLD7,17644.7042565742,18094.0905990754,17242.2785008841
2024,TLD7,17483.0428861692,18173.9023087954,16878.6217179741
2025,TLD7,17331.8282826532,18195.1865338611,16552.2319356713
2026,TLD7,17062.1564179711,18124.5195770373,16151.9379127301
2027,TLD7,16492.9043572352,17626.4740443198,15509.8549631965
2028,TLD7,15910.2978755676,17121.1390474938,14870.465127332
2029,TLD7,14983.0256836186,16235.2521283286,13908.9643072392
2030,TLD7,14571.5320565614,15920.7701345744,13434.9421899609
2031,TLD7,14819.6745995359,16318.2188272131,13585.5698040577
2032,TLD7,14462.3228219452,16127.9375521269,13167.9807305705
2023,TLD6,10802.3360585375,11058.6545759694,10555.6506301474
2024,TLD6,10688.6394615323,11070.283260292,10301.9447012079
2025,TLD6,10568.7400268163,11101.0466814589,10062.5584810803
2026,TLD6,10434.7649847716,11137.5743124303,9811.38291485464
2027,TLD6,9863.59072630746,10627.6790660567,9207.5781615913
2028,TLD6,9331.34724463619,10137.0050236571,8639.8341689445
2029,TLD6,9272.3426497353,10145.9913541163,8521.73593668748
2030,TLD6,8934.06782829384,9856.68253073616,8163.42109658034
2031,TLD6,9169.69458965679,10194.1230306116,8315.9265768879
2032,TLD6,8767.42541242109,9809.85837385078,7843.72318811349
2023,TLD4,17703.5413455442,18003.1580485282,17361.9966587711
2024,TLD4,17422.4186552924,17909.2923048245,16914.7830570084
2025,TLD4,17122.4495372403,17778.7712145275,16442.2586584213
2026,TLD4,16803.1929315947,17715.2041170504,16072.3937728513
2027,TLD4,15491.8492704111,16426.7632861127,14730.3441724089
2028,TLD4,15472.2319477036,16503.7391730573,14633.3787351178
2029,TLD4,14775.2376892519,15865.5723965196,13903.1139232738
2030,TLD4,14122.126793651,15247.9761440272,13222.8833838988
2031,TLD4,14460.8536827562,15722.7343129984,13460.2024130104
2032,TLD4,13926.9321806796,15337.1743715076,12878.1983171355
2023,TLE1,10444.2467475678,10750.1554396162,10225.5359466002
2024,TLE1,10173.7363646607,10572.3481066483,9812.23786333814
2025,TLE1,9978.45978478508,10559.8688470464,9469.85658255482
2026,TLE1,9727.68367267585,10416.3192078183,9088.99989944702
2027,TLE1,9042.09055472704,9758.30316290893,8374.37875635204
2028,TLE1,8460.44498707581,9211.06922951314,7766.06733647965
2029,TLE1,8288.35892169374,9111.17619036835,7545.45010682442
2030,TLE1,7821.38281133671,8678.89881394114,7057.36366413554
2031,TLE1,7875.13865699809,8811.34635525264,7050.57495831642
2032,TLE1,7537.27169361362,8526.35229180422,6662.49203194753
2023,TLE2,7800.67809724504,8070.79219911361,7587.23308735499
2024,TLE2,7707.37916956463,8075.81947705477,7395.35753446171
2025,TLE2,7518.56027088955,7979.8553056718,7116.69413078233
2026,TLE2,7366.26416071109,7938.1171824167,6815.17525032551
2027,TLE2,6893.13275323056,7557.96910593672,6320.06403107948
2028,TLE2,6574.28974355944,7265.87974295741,5965.98074806505
2029,TLE2,6178.47991448168,6895.55692316949,5551.16343712856
2030,TLE2,6152.62470840278,6926.40782623537,5474.23075738193
2031,TLE2,6133.14212651029,6965.05309607467,5403.31848655498
2032,TLE2,5898.12290316562,6766.65335970578,5140.17227446495
2023,TLF1,25060.4816392781,25536.6909118687,24623.3124490941
2024,TLF1,24718.7135252966,25341.6905746532,23946.4769580443
2025,TLF1,24260.8512564995,25079.5293289959,23276.126391079
2026,TLF1,23681.3446244855,24779.660643607,22377.3864773141
2027,TLF1,21655.1451326868,22800.3264195117,20349.4954267463
2028,TLF1,20898.9891527702,22103.3418891109,19514.0219829811
2029,TLF1,19861.5316787951,21111.8827540741,18430.3461999473
2030,TLF1,19157.4761491675,20463.1067885694,17638.3305763638
2031,TLF1,19264.7468541251,20689.7651930588,17589.7122378185
2032,TLF1,18417.3519523544,19928.8527734634,16725.5781631206
2023,TLF2,22396.5535043067,22712.1085353733,22083.4542486661
2024,TLF2,22110.4946294919,22658.7951166923,21501.9572066068
2025,TLF2,21751.4546182926,22557.9696185889,20981.3657305931
2026,TLF2,21273.4983256065,22242.0983351912,20331.0954232512
2027,TLF2,20256.150238982,21420.3262691437,19155.2400029273
2028,TLF2,19295.3473444638,20500.2493224759,18135.7190771238
2029,TLF2,18811.7937690853,20068.733822512,17560.1197746643
2030,TLF2,17727.1966350098,19016.7460306915,16441.7406344582
2031,TLF2,18200.3146755252,19619.7904314016,16776.0344627496
2032,TLF2,17679.5642796278,19236.6687322285,16173.3155659422
2023,TLG1,14817.329215148,15098.6037786276,14503.7676242677
2024,TLG1,14681.8353978549,15099.9353200706,14144.8140168287
2025,TLG1,14545.9695247602,15135.4045153027,13844.9669828576
2026,TLG1,14356.248181896,15166.1752433339,13533.8039832932
2027,TLG1,13861.6326981249,14710.3306386782,12946.891739954
2028,TLG1,13518.0524391086,14454.8863768429,12526.2141242869
2029,TLG1,12938.9601598851,13927.7455388727,11922.6477025752
2030,TLG1,12780.1981996944,13847.4882838307,11687.3073161732
2031,TLG1,12922.0526394015,14093.4364088652,11732.6637118278
2032,TLG1,12532.3914294686,13734.1643514209,11264.5450917059
2023,TLG2,17989.0169176965,18424.7850478072,17577.9892676711
2024,TLG2,17789.4287023911,18522.7443197553,17124.2555494243
2025,TLG2,17418.6487718196,18407.4420608675,16564.0369207034
2026,TLG2,17172.0614870067,18333.7477183061,16123.0783641249
2027,TLG2,16235.3325982389,17460.8314485348,15145.0003613684
2028,TLG2,15693.6818758164,17018.4455107296,14543.3558458929
2029,TLG2,15537.7311982101,16985.8779601708,14292.918986362
2030,TLG2,15091.3486645104,16625.6227955478,13772.9170188145
2031,TLG2,15179.5030062803,16845.6394909343,13733.4878759673
2032,TLG2,14659.2094045705,16404.9964582144,13120.104091469
2023,TLK1,28040.5274206377,28646.1225616465,27370.2735649453
2024,TLK1,27816.395090998,28715.786150544,26745.1129587625
2025,TLK1,27231.549995662,28408.1415478464,25850.9449779643
2026,TLK1,26555.7420016007,28058.3023238118,24856.1059019169
2027,TLK1,24801.8165539666,26347.8158401835,23072.8601381723
2028,TLK1,23630.6356297946,25281.5635390392,21868.3335462089
2029,TLK1,22502.41355206,24222.5106422579,20686.0230116263
2030,TLK1,21777.3730973476,23596.3315043669,19863.3215522708
2031,TLK1,21659.2377472347,23625.7585348993,19610.9803927518
2032,TLK1,20935.2967929752,23047.5364826099,18842.6319435788
2023,TLK4,11948.6363192452,12152.5523295948,11725.0392223758
2024,TLK4,11816.8497933251,12200.2481254659,11412.5735918326
2025,TLK4,11507.0279262633,11976.0394023377,10982.0927794358
2026,TLK4,11195.9062694849,11746.7841291517,10591.1919041098
2027,TLK4,10261.940740654,10826.4681872301,9615.89008916617
2028,TLK4,9915.44573134209,10525.0273470046,9231.05250723808
2029,TLK4,9320.25549053425,9953.90481378763,8620.4366375757
2030,TLK4,8979.34705225071,9647.27078868267,8240.9222871714
2031,TLK4,8962.26002512307,9687.74894053607,8154.31074066478
2032,TLK4,8558.28827548846,9341.01680786982,7730.68044073574
2023,TLH1,27496.1372158447,28046.3683162643,26941.0820059439
2024,TLH1,27169.9087708351,28012.719585581,26231.0947051237
2025,TLH1,26624.8856721213,27893.3155215075,25417.2803068222
2026,TLH1,25990.9282100467,27629.8416604655,24469.498444502
2027,TLH1,23793.5754024419,25494.8025287034,22269.8563108996
2028,TLH1,22388.627660975,24175.778245196,20804.9633912832
2029,TLH1,21570.7061650844,23466.3894081074,19904.5152710664
2030,TLH1,20378.4212234802,22318.6364112968,18669.7476560502
2031,TLH1,20628.8157287737,22751.0045958225,18740.741934846
2032,TLH1,19792.3448340191,21930.780271312,17715.5023408422
2023,TLH2,23461.6160936409,23945.391577604,22904.3767827002
2024,TLH2,23198.9340736869,23964.4557210707,22369.7486932207
2025,TLH2,22703.0636264285,23695.4236868011,21700.0220472436
2026,TLH2,22162.7391264583,23414.1552366627,20881.587984843
2027,TLH2,20837.1405807818,22130.9262935314,19480.673238825
2028,TLH2,20041.0469523951,21397.3771198822,18607.7939554563
2029,TLH2,19484.9112755667,20918.1136585772,17944.0804237617
2030,TLH2,18690.3294189178,20157.7699184814,17083.1342749002
2031,TLH2,18684.4207733241,20262.5603077363,16949.433630995
2032,TLH2,18193.775856948,19853.2836595509,16297.4424428434
2023,TLH3,21955.6619944449,22223.6527661656,21614.8878929156
2024,TLH3,21754.3007136574,22190.9956468177,21204.0597385762
2025,TLH3,21551.904268119,22123.2974424911,20821.2809666916
2026,TLH3,21278.5933927203,22161.6001772798,20400.116761672
2027,TLH3,20809.234665498,21767.9577134394,19849.6997418676
2028,TLH3,19991.0110357171,21013.273902973,18981.717185793
2029,TLH3,19450.4588063107,20539.5426015346,18364.7703850283
2030,TLH3,18467.2242943584,19598.3584746577,17341.414928142
2031,TLH3,19166.9646677456,20453.3178580731,17898.9299156822
2032,TLH3,18691.4113537085,20197.4790750354,17306.4938405705
2023,TLJ4,22259.1939988652,22601.9923171951,21792.9656592202
2024,TLJ4,22168.9466340328,22682.7461344489,21476.5617868145
2025,TLJ4,21958.0140110551,22678.7146343648,21039.1668928839
2026,TLJ4,21681.1094036226,22667.3094849182,20529.881010876
2027,TLJ4,20897.6033376204,21963.0282423302,19661.6920487324
2028,TLJ4,20111.3503066037,21233.7888109302,18801.8355216393
2029,TLJ4,19467.1634675486,20660.8513633102,18076.4098164076
2030,TLJ4,18777.7177908967,20004.0261772591,17327.3314962139
2031,TLJ4,19256.824769181,20602.3321383866,17650.2299470354
2032,TLJ4,18701.3055368021,20257.804497218,17015.7632595992
2023,TLJ1,29402.9141055163,30065.7659224368,28708.5149498113
2024,TLJ1,28884.1968449177,30094.7470396243,27961.3202643142
2025,TLJ1,28495.9401279,30012.6648056977,27198.1307407212
2026,TLJ1,27826.2566146776,29754.900429665,26159.4556884402
2027,TLJ1,25764.4228162382,27803.1745118662,24065.1804050627
2028,TLJ1,24567.7478798612,26692.013753107,22754.6835020468
2029,TLJ1,23788.8291960043,26008.4531508815,21859.6418553028
2030,TLJ1,23084.7720507239,25400.2712140601,21034.0888294127
2031,TLJ1,23280.7312581586,25838.4740348527,21033.2099360512
2032,TLJ1,22122.2983965104,24830.2723597455,19801.7139620921
2023,TLJ2,29779.9562224692,30329.0189900474,28989.630193821
2024,TLJ2,29501.8696010675,30274.2925515995,28081.8724431102
2025,TLJ2,29004.7043010241,29919.3303267224,27058.3627886161
2026,TLJ2,28126.5726461953,29314.100688556,25906.6916372812
2027,TLJ2,26148.1898821613,27379.3430273839,23875.7983802317
2028,TLJ2,25044.0142602493,26349.4568555621,22699.4154801303
2029,TLJ2,23921.9871601298,25305.8970462897,21497.4450481603
2030,TLJ2,23038.0381791813,24506.9012878006,20519.3303837655
2031,TLJ2,23178.5199691119,24808.4200053411,20451.6783002461
2032,TLJ2,22104.6219409016,23952.8794367935,19305.860527337
2023,TLJ3,21600.3054557704,21909.8547602348,21210.1745974375
2024,TLJ3,21357.7988456148,21902.9695605743,20740.8333316419
2025,TLJ3,21022.0404782176,21749.1641696708,20268.4471412423
2026,TLJ3,20516.7701650811,21392.3106126753,19530.6343049247
2027,TLJ3,18770.6442498121,19672.253547157,17812.2660895831
2028,TLJ3,18190.8192797509,19155.1472892113,17171.5332339693
2029,TLJ3,17613.8853786054,18635.0498552046,16535.1984552271
2030,TLJ3,16930.6741457762,17998.3797649162,15809.0987090434
2031,TLJ3,16835.3374361128,17988.1900939199,15630.153187586
2032,TLJ3,16134.5619689869,17428.3069163248,14830.868534224
2023,TLK3,5728.4278237709,5859.35536626535,5616.07511876605
2024,TLK3,5669.51133626403,5893.47284302218,5469.91343207926
2025,TLK3,5527.17267145356,5823.79543871917,5254.64504560853
2026,TLK3,5342.56746991421,5692.48438613146,5013.0382788681
2027,TLK3,4991.67383975919,5352.18233727771,4642.00197990014
2028,TLK3,4650.80637273935,5020.51836364757,4286.11762802477
2029,TLK3,4423.7365830219,4809.35282026492,4040.4257485239
2030,TLK3,4312.40231260772,4720.56103742886,3900.94082081186
2031,TLK3,4275.91430098393,4713.41310608351,3832.97637571963
2032,TLK3,4049.29201867728,4515.1119496094,3591.34364793235
2023,TLC2,15621.3163444843,15910.7692968014,15345.0401971089
2024,TLC2,15300.6568343646,15806.4518271582,14905.9072010615
2025,TLC2,14924.5438549575,15644.8655541366,14435.5081734055
2026,TLC2,14610.6370851727,15620.2263928245,13954.6607396218
2027,TLC2,13560.1465799318,14618.009583483,12877.525064943
2028,TLC2,13118.8268480678,14268.7479853594,12393.3972783963
2029,TLC2,12219.5063167497,13395.2764316264,11485.3046939625
2030,TLC2,12128.0794996752,13397.0340475221,11331.4085594461
2031,TLC2,12090.5116866888,13471.2635329208,11231.9135194122
2032,TLC2,11599.7853478729,13089.5010218729,10730.4228745291
2023,TLK2,13108.370408398,13290.7288555617,12704.1965542086
2024,TLK2,12931.0006331769,13264.6568998709,12368.6489978949
2025,TLK2,12590.7188126983,13040.1457036109,11906.9935584986
2026,TLK2,12267.4257949556,12839.3980751608,11441.8513900489
2027,TLK2,11197.563700784,11773.021666183,10326.4677493156
2028,TLK2,10521.3453951034,11132.6563742155,9618.32242294118
2029,TLK2,10127.300841395,10771.1430058457,9188.41780010707
2030,TLK2,9789.12075503146,10468.568072809,8817.99362091731
2031,TLK2,9572.91926875296,10307.4142266181,8553.72461162179
2032,TLK2,9247.95109532642,10044.115007293,8191.71948265201
2023,TLD1,4988.67474513474,5076.57457865845,4893.51054385696
2024,TLD1,4917.11742235174,5057.952173878,4760.46870353875
2025,TLD1,4824.93859779967,5022.76355336692,4624.80903207714
2026,TLD1,4745.65773806933,4988.01434447713,4503.71201964104
2027,TLD1,4216.32321828807,4466.48854075872,3977.57206843968
2028,TLD1,4230.15514967254,4510.3200157016,3972.30920514883
2029,TLD1,3957.98911444024,4246.09577522175,3694.5251121247
2030,TLD1,3908.56963874351,4217.42923611136,3627.46021757971
2031,TLD1,3878.48486253375,4213.99734890592,3581.99059068326
2032,TLD1,3759.62803556922,4113.21841324323,3414.70607171769
2023,TLF3,7856.00769548724,8186.30308162556,7623.39281884881
