year,itl22cd,mean_projection,upper_pi,lower_pi
2023,TLC1,13313.3761630384,13685.7116817646,12979.593449605
2024,TLC1,12964.0436846023,13594.1650025845,12466.5457642301
2025,TLC1,12646.7504096446,13381.1273129195,11954.4668445235
2026,TLC1,11625.6978620277,12381.0226547319,10912.8550138129
2027,TLC1,11189.6549965228,11984.9351309922,10433.5388818916
2028,TLC1,10754.1627126789,11595.1219312098,9947.78697110157
2029,TLC1,10098.5649153557,10972.5769533989,9265.31456354813
2030,TLC1,10336.4699438267,11296.9136184401,9415.3362380735
2031,TLC1,9812.22949247227,10833.7618927011,8853.09903483328
2032,TLC1,9493.63673437375,10568.0086683354,8495.11630942731
2023,TLD7,17509.1325526067,17923.1659715438,17112.6759207258
2024,TLD7,17395.1336106413,18026.2506687573,16814.9468059839
2025,TLD7,17161.4150170102,17980.6243369659,16404.1147004203
2026,TLD7,16624.6342414313,17555.9172503128,15831.2063006184
2027,TLD7,16071.9677766405,17062.8666918066,15225.424300462
2028,TLD7,15167.9207189911,16205.1262465073,14313.235302238
2029,TLD7,14783.168455254,15914.5316076296,13879.7531366897
2030,TLD7,15067.3459939134,16333.3963181768,14075.8219195552
2031,TLD7,14735.7392645786,16223.6051239114,13675.6467727758
2032,TLD7,14465.9986693707,16041.9765715225,13347.839302023
2023,TLD6,10692.054502975,10947.1426211839,10433.9406109334
2024,TLD6,10598.3900506438,11016.6212136672,10185.5909900127
2025,TLD6,10490.0438503961,11122.3960481902,9974.90089084676
2026,TLD6,9940.48611206455,10608.8597938261,9389.88099209813
2027,TLD6,9427.4639008633,10132.7899138557,8846.26813447605
2028,TLD6,9391.13204612551,10166.432982055,8760.1460431064
2029,TLD6,9071.01046791035,9886.18011230943,8406.51047462702
2030,TLD6,9333.38630953911,10241.6791282993,8596.86382221002
2031,TLD6,8946.11338670702,9915.89510173841,8169.90379079058
2032,TLD6,8787.31657528956,9818.62839492301,7969.21951875733
2023,TLD4,17547.9200266983,17863.4049014086,17181.4563362146
2024,TLD4,17307.0042750144,17831.7062606544,16761.9053431599
2025,TLD4,17044.5925910773,17791.6574315308,16433.2329234386
2026,TLD4,15770.1882976193,16520.8577039797,15129.7915020685
2027,TLD4,15806.1241381036,16638.1634900287,15095.9794984956
2028,TLD4,15147.66536101,16027.1185390653,14399.7981627778
2029,TLD4,14529.4822109845,15451.2047702041,13736.348694204
2030,TLD4,14930.789341156,15972.6475261936,14064.5197744553
2031,TLD4,14430.5572433137,15570.454669877,13551.1683064669
2032,TLD4,14143.1846305628,15332.838598114,13218.5245741384
2023,TLE1,10247.048866351,10467.6738892274,9966.07928427168
2024,TLE1,10084.4049841371,10485.3652883199,9627.42615584132
2025,TLE1,9864.26306741507,10385.5468898903,9240.9843347297
2026,TLE1,9200.09893028315,9775.57244138122,8546.11463021814
2027,TLE1,8637.44490814071,9243.55741798898,7959.7797373946
2028,TLE1,8490.41802587764,9150.35991697743,7757.2447976562
2029,TLE1,8039.1939316869,8719.42349961802,7289.81132247076
2030,TLE1,8121.86209393495,8870.06145463,7299.50261456657
2031,TLE1,7799.73794472415,8622.63163611575,6910.79028412929
2032,TLE1,7564.73604372834,8412.43608207366,6628.81619961289
2023,TLE2,7777.07585033432,8050.89475468197,7558.70858918397
2024,TLE2,7606.08692462788,7997.40884443386,7269.52690768116
2025,TLE2,7471.20885127715,7941.56270890744,6997.27702723807
2026,TLE2,7009.3414989551,7552.24766249847,6522.58395380606
2027,TLE2,6702.33924994412,7275.51753706017,6185.89578969372
2028,TLE2,6315.04128823844,6915.97034135993,5772.05163549104
2029,TLE2,6304.80950890188,6961.54820042707,5707.49469716675
2030,TLE2,6301.03021661628,7021.8600076534,5658.02423981192
2031,TLE2,6075.18266286285,6831.01296927174,5402.50416635412
2032,TLE2,5918.98846285747,6714.47718507377,5215.95146332636
2023,TLF1,24894.8252726636,25263.8451026752,24319.1974417942
2024,TLF1,24526.0447826406,25216.6705036089,23653.3116487377
2025,TLF1,24030.6823801777,25023.7600262839,22944.7198879843
2026,TLF1,22057.6432142243,23061.4811387675,20933.7115516937
2027,TLF1,21367.8857589768,22453.9352436441,20148.0980343881
2028,TLF1,20383.8996893646,21491.6374344599,19091.5536588558
2029,TLF1,19735.6344903063,20897.7788036063,18357.8772402767
2030,TLF1,19921.1483658044,21203.5221688314,18420.3917894398
2031,TLF1,19116.8580092024,20552.5385002454,17624.395118635
