year,itl22cd,mean_projection,upper_pi,lower_pi
2023,TLC1,12621.2665219492,12733.9099050296,12510.3630363634
2024,TLC1,12300.8690416845,12422.5212859599,12179.5506230904
2025,TLC1,11971.0127770862,12105.7020120463,11842.690636823
2026,TLC1,11382.8010539762,11523.5323294715,11247.3935531923
2027,TLC1,11797.6884348077,11958.0589813096,11642.9843535353
2028,TLC1,11340.3789285815,11604.991120781,11076.5306862794
2029,TLC1,11110.3482442976,11399.1207184097,10828.8279414492
2030,TLC1,10884.9835518686,11196.4445688351,10586.8528923901
2031,TLC1,10664.1902053126,10999.7532778184,10349.1931175779
2032,TLC1,10447.875478467,10805.4664739482,10115.5742691634
2023,TLC2,14814.6490066352,14893.9481088275,14731.532869501
2024,TLC2,14544.1851822414,14632.4186349791,14452.5337032959
2025,TLC2,13747.2385528536,13839.9038621909,13649.4476517258
2026,TLC2,13845.9021151234,13948.3810515671,13736.8041180169
2027,TLC2,14006.8770417289,14119.9821246814,13886.9132811869
2028,TLC2,13636.8480387295,13976.6803658233,13362.3484258246
2029,TLC2,13444.3594373058,13817.2021271718,13150.7733811621
2030,TLC2,13254.5878758881,13654.3604857718,12942.121209097
2031,TLC2,13067.4950025619,13500.8740497097,12733.8090529825
2032,TLC2,12883.0430067626,13353.4969801619,12528.954955128
2023,TLD1,4503.76946926533,4564.15561731459,4444.31970166249
2024,TLD1,4562.8217757619,4632.36758162399,4494.91768368173
2025,TLD1,4311.0867028152,4384.11603621218,4240.75963365038
2026,TLD1,4298.97548605415,4379.92180746332,4221.57954235686
2027,TLD1,4307.68728086775,4396.93704837688,4223.59088106968
2028,TLD1,4216.5950953853,4352.60871301728,4072.00399937192
2029,TLD1,4143.81412659939,4291.12766875107,3990.07782373822
2030,TLD1,4072.28940113245,4231.86654733335,3905.98877954114
2031,TLD1,4001.99923546883,4174.33918693998,3824.56571427009
2032,TLD1,3932.9223203634,4117.82483592249,3742.88010114278
2023,TLD3,34302.44478811,34638.5955167383,33935.5088423704
2024,TLD3,33944.3645695037,34325.776223757,33553.39660865
2025,TLD3,33242.3040197083,33664.165041097,32835.5937722611
2026,TLD3,32046.7193031955,32500.1976452577,31629.0867953191
2027,TLD3,33033.9479855739,33547.821428362,32569.6634299102
2028,TLD3,32431.8181673755,33271.9903925694,31594.3245826893
2029,TLD3,32076.1685598167,32980.8158294858,31186.3488838154
2030,TLD3,31724.4190309616,32692.0635662207,30764.4030758929
2031,TLD3,31376.5268122717,32415.7763690398,30363.6494566353
2032,TLD3,31032.4496042116,32150.2699536665,29937.0263647584
2023,TLD4,16594.1749916125,16712.1652302882,16458.7384787777
2024,TLD4,16788.466996993,16921.7324103356,16637.6869093766
2025,TLD4,16240.4560712857,16386.2385344209,16078.6091114944
2026,TLD4,15724.2348844453,15880.2134967457,15551.7193832308
2027,TLD4,16310.5655194497,16487.8327372919,16114.0761490885
2028,TLD4,15912.4194830654,16261.3043449549,15517.6795451071
2029,TLD4,15742.264104243,16130.7364691394,15313.0574598029
2030,TLD4,15573.9282383471,15991.7560819016,15112.5275197484
2031,TLD4,15407.3924288827,15848.6657776883,14913.1346133712
2032,TLD4,15242.6374274077,15721.4655221659,14720.7665812226
2023,TLD6,10299.7867950938,10421.5482554414,10185.9837833704
2024,TLD6,9849.97059242395,9982.89013841386,9728.02262981071
2025,TLD6,9894.126225354,10040.2660252607,9757.88293933793
2026,TLD6,9636.83917739145,9793.03444641126,9489.71617331808
2027,TLD6,9998.56395113222,10172.5241354526,9830.7228124963
2028,TLD6,9663.8955888588,9924.01234200322,9418.69107112887
2029,TLD6,9571.79849452753,9854.62830232197,9305.64273106582
2030,TLD6,9480.57908711934,9784.90899344055,9197.86465078933
2031,TLD6,9390.22900226245,9724.26158617058,9086.95119998046
2032,TLD6,9300.73995529773,9659.46629835908,8973.49672687807
2023,TLD7,17224.1273556809,17378.5786401642,17096.4684645934
2024,TLD7,16790.5992891543,16961.0569177642,16650.9669342826
2025,TLD7,15978.4706620019,16157.3592747482,15831.7539046156
2026,TLD7,15703.2194789605,15898.3464064582,15545.4492483321
2027,TLD7,16138.7521325045,16359.1708721077,15962.619518644
2028,TLD7,15915.3844635189,16505.1248991652,15382.6848441807
2029,TLD7,15754.5369069194,16408.8038735869,15173.6836511398
2030,TLD7,15595.3149432501,16303.4883387853,14992.6264699613
2031,TLD7,15437.7021435863,16205.6362304477,14786.1873522446
2032,TLD7,15281.6822450412,16120.286647105,14604.4466784234
2023,TLE1,9897.8684084394,10011.6174484716,9778.72506635486
2024,TLE1,9406.35316057516,9528.26770483235,9283.55117532467
2025,TLE1,9359.48332555394,9494.77419050032,9227.78493129993
2026,TLE1,8970.61294888405,9112.18973097703,8835.60874445907
2027,TLE1,9173.85847870835,9332.51769172211,9023.4491689971
2028,TLE1,8917.91335216022,9196.68125107015,8649.56233377291
2029,TLE1,8755.15476171654,9053.45489739479,8467.33896737826
2030,TLE1,8595.3666373132,8918.51682150061,8288.79524483231
2031,TLE1,8438.49476572265,8785.10168303018,8110.71223955667
2032,TLE1,8284.48592314933,8649.68408170356,7935.12374160979
2023,TLE2,7431.42251950791,7568.06898934644,7308.99677809084
2024,TLE2,7169.38289488022,7315.94406394497,7039.79937666591
2025,TLE2,6815.41329742799,6968.46568207097,6679.59671717072
2026,TLE2,6865.1274867108,7034.43818709695,6712.29824518749
2027,TLE2,6922.27476210642,7110.26643991537,6751.83766533249
2028,TLE2,6733.75398885456,7013.91130611547,6474.30524899725
2029,TLE2,6619.20806957256,6920.98760430981,6342.38334993408
2030,TLE2,6506.61065741539,6829.47971804907,6208.58827739906
2031,TLE2,6395.92860689835,6742.02690829813,6078.76092818131
2032,TLE2,6287.12933636488,6652.29104930892,5954.29124643501
2023,TLE3,15441.8445671508,15582.7102870887,15304.4536166584
2024,TLE3,14937.0300833134,15091.4341473359,14789.066440917
2025,TLE3,14756.4694492716,14925.329550726,14593.6929064117
2026,TLE3,14033.4650073176,14210.9982355029,13866.1481411066
2027,TLE3,14590.7140836289,14790.0412811217,14402.076656712
2028,TLE3,14241.9954508016,14623.0746147553,13852.4811455838
2029,TLE3,14050.9639923519,14471.1086332956,13626.7982952197
2030,TLE3,13862.4948867862,14319.0589310877,13408.2260213402
2031,TLE3,13676.5537646223,14168.4297536661,13195.7278552775
2032,TLE3,13493.1067173846,14020.1522962717,12983.1235418063
2023,TLE4,28092.9864475075,28272.6979670133,27922.6219164056
2024,TLE4,27360.0782231881,27558.5105849955,27174.340538282
2025,TLE4,26649.041991217,26861.1407466346,26449.5763905109
2026,TLE4,25331.502231827,25557.1706630844,25119.9019858312
2027,TLE4,25679.2278858686,25930.2007126086,25444.7455668227
2028,TLE4,25437.2679676973,26202.4811525319,24128.676833163
2029,TLE4,25024.2551051984,25835.1073968553,23630.6007606526
2030,TLE4,24617.9481367762,25516.475203652,23163.9740283483
2031,TLE4,24218.238182007,25197.3498973049,22709.7102592439
2032,TLE4,23825.0181283074,24884.3841929956,22270.9931790582
2023,TLF1,23349.8226133398,23436.4153764105,23274.1999203909
2024,TLF1,22884.5430121903,22981.180942085,22801.3591661798
2025,TLF1,22086.3615844754,22192.043465958,21993.9822385864
2026,TLF1,21634.3679097918,21748.8620098761,21535.470498081
2027,TLF1,22093.4582663029,22221.0293352259,21984.4874017083
