year,itl22cd,mean_projection,upper_pi,lower_pi
2023,TLC1,13679.9860479212,13991.1284159819,13314.2515106757
2024,TLC1,13550.9942890772,14002.7227531263,13044.3116965234
2025,TLC1,13229.4400802031,13863.224849133,12567.3732752526
2026,TLC1,12808.6543340168,13667.7194906242,12003.1631367841
2027,TLC1,12423.7220474335,13334.5199350353,11464.3055943536
2028,TLC1,11355.377327539,12290.2582690882,10363.5518969595
2029,TLC1,10866.983146274,11839.2590263526,9836.9053954117
2030,TLC1,10384.3342657048,11393.1099188655,9302.02913027833
2031,TLC1,9695.52826707029,10733.4884440334,8594.8625008816
2032,TLC1,9867.19748950629,11017.1448421659,8658.09294247961
2023,TLD7,18073.6745650377,18496.2516912695,17642.0994041653
2024,TLD7,18112.1204745336,18816.2066584886,17480.6331537704
2025,TLD7,17972.4217653168,18871.763837248,17197.0886139112
2026,TLD7,17843.030612656,18937.8660784196,16888.6215250731
2027,TLD7,17591.0930650236,18900.9999993141,16474.8536670144
2028,TLD7,17029.0614177212,18436.844733618,15847.8746450289
2029,TLD7,16451.539560801,17947.3125811499,15196.2389682459
2030,TLD7,15515.3802461824,17055.5679219823,14210.2905826051
2031,TLD7,15111.3331340004,16737.2649878832,13738.7079661674
2032,TLD7,15391.1437964612,17176.2119486762,13913.0184930558
2023,TLD6,11058.3660827703,11317.5434303749,10778.7048396869
2024,TLD6,11092.7824267986,11503.9026020466,10719.6939957221
2025,TLD6,10986.4038393641,11535.3264753216,10473.1161546147
2026,TLD6,10873.4325704926,11556.8106371475,10281.6364487492
2027,TLD6,10745.7428250093,11617.473087963,10032.1279338565
2028,TLD6,10167.1477250119,11106.5417342941,9407.74249687825
2029,TLD6,9627.61602092676,10605.5931206262,8828.85947011344
2030,TLD6,9575.78092935874,10657.4701108248,8710.76914428074
2031,TLD6,9235.15725451748,10380.7328457181,8329.93071281254
2032,TLD6,9487.68463282699,10760.5334396012,8487.4006231652
2023,TLD4,17996.6012820765,18461.4161728475,17445.4433098417
2024,TLD4,17920.7636743983,18520.0174985043,17228.6613213856
2025,TLD4,17625.8156066514,18420.1245699387,16772.0321940409
2026,TLD4,17312.1531610982,18280.8118778169,16355.2224239871
2027,TLD4,16979.3639873558,18133.7563632078,15921.8557472716
2028,TLD4,15645.0617317596,16842.4500621348,14549.1736617807
2029,TLD4,15616.0575009646,16947.8886068266,14434.881816216
2030,TLD4,14903.810570154,16293.5042615805,13692.0271966886
2031,TLD4,14236.6355042188,15674.011482555,12998.8938744831
2032,TLD4,14569.5321226664,16176.0679914436,13221.0157809404
2023,TLE1,10739.4687839104,11038.4392789178,10486.6972216964
2024,TLE1,10709.4384896668,11186.0313134048,10364.1039633975
2025,TLE1,10442.4846640645,11006.6026221842,9960.22148287424
2026,TLE1,10252.2849307821,10970.7662557575,9639.8443540174
2027,TLE1,10004.6151076746,10847.9995739226,9279.53717615861
2028,TLE1,9308.79759296744,10178.4633577665,8545.59312550447
2029,TLE1,8718.69992309289,9627.75664949422,7934.54844618332
2030,TLE1,8549.8966249168,9523.59054314075,7710.7507901329
2031,TLE1,8076.24799547314,9081.28550292938,7217.86300379548
2032,TLE1,8139.88187047665,9242.08338011347,7209.23766710917
2023,TLE2,7889.69852284755,8196.96287426179,7682.01442018098
2024,TLE2,7830.72356502814,8264.83213328083,7493.21248017263
2025,TLE2,7728.76970129003,8269.59248791085,7251.56280431396
2026,TLE2,7531.34309164045,8168.45380456889,7022.44265225721
2027,TLE2,7370.87661119005,8083.68828934659,6745.65293743954
2028,TLE2,6890.05359272972,7714.30098186622,6230.99713186277
2029,TLE2,6564.30729036687,7433.17372271687,5875.28388750489
2030,TLE2,6162.48403439486,7043.86001853669,5469.56834346848
2031,TLE2,6130.11608069231,7086.42010506389,5389.51147154153
2032,TLE2,6104.15295476163,7115.49043456662,5309.30518558455
2023,TLF1,25752.6720721447,26253.8949305692,25179.9546559539
2024,TLF1,25675.8159087627,26430.6705051579,24851.2447587853
2025,TLF1,25334.2244635032,26226.703451606,24251.8127206345
2026,TLF1,24873.373712073,25964.4517582054,23557.1565785008
2027,TLF1,24287.4504639999,25678.6376735527,22699.2753390145
2028,TLF1,22216.90605752,23654.7249958625,20598.434067074
2029,TLF1,21448.3886490476,22924.6943012821,19734.4063575918
2030,TLF1,20390.5545574026,21937.0355607872,18615.5582564833
2031,TLF1,19674.4003102534,21305.7777676315,17821.8795089951
2032,TLF1,19791.2592036691,21557.8099584441,17756.8088358721
2023,TLF2,22798.725101574,23177.6826684177,22324.2459294776
2024,TLF2,22734.2130980885,23256.8167470025,22045.4052329134
2025,TLF2,22419.751597448,23097.7707232051,21539.0731724976
2026,TLF2,22032.0164682327,22998.8054711903,20927.3541833343
2027,TLF2,21524.7670107661,22675.5746113073,20241.369870093
2028,TLF2,20473.4041252533,21795.1632620154,19108.0340861313
2029,TLF2,19481.3636975016,20835.2901577771,18037.0490417866
2030,TLF2,18972.7623184599,20388.6948255187,17448.1915218003
2031,TLF2,17859.6943837274,19287.7115302678,16298.6405139064
2032,TLF2,18316.6674867521,19880.2378851373,16603.8092281461
2023,TLG1,15119.5251635458,15541.904733049,14659.1143807504
2024,TLG1,15222.0335077946,15745.3205941491,14598.0682992849
2025,TLG1,15100.7259332589,15756.1756951888,14321.7626393172
2026,TLG1,14978.7261046392,15848.4347847287,14051.212633249
2027,TLG1,14800.8921855013,15867.3628199007,13688.8593451885
2028,TLG1,14307.9052600263,15433.5388799746,13091.3707576678
2029,TLG1,13969.8108929286,15172.3805787336,12686.9148241448
2030,TLG1,13387.2232963427,14668.7253822147,12067.4911103336
2031,TLG1,13238.642430079,14632.3304011719,11841.9460549854
2032,TLG1,13401.4595672147,14943.0611398897,11892.5117967261
2023,TLG2,18348.4317716095,18791.7674268596,17756.4526645084
2024,TLG2,18326.9926889546,18950.8103293009,17525.192705815
2025,TLG2,18123.5936154523,19032.9865129991,17079.4257796204
2026,TLG2,17745.7890382793,18887.8556482326,16564.2072888397
2027,TLG2,17494.5116910813,18757.5277888632,16020.1225028052
2028,TLG2,16540.1375916303,17863.3609201602,15031.5920780009
2029,TLG2,15988.2639963949,17408.2638964315,14400.1118358623
2030,TLG2,15829.3327164924,17372.8656611476,14098.0785411141
2031,TLG2,15374.5210200183,17014.8556612551,13540.8078041514
2032,TLG2,15464.2774171783,17253.8384430179,13468.4951595169
2023,TLK1,28639.6993042998,29287.5764261541,27817.3796271274
2024,TLK1,28674.4082517745,29605.3018184421,27551.1929178119
2025,TLK1,28451.7239152072,29660.0362689751,27022.384219622
2026,TLK1,27859.9000979511,29374.2125337385,26102.7825707256
2027,TLK1,27174.7205804616,28849.6735362511,25089.7552309947
2028,TLK1,25385.7261614115,27185.5455838377,23252.1952604292
2029,TLK1,24192.5115574152,26087.8629821387,21951.7693255832
2030,TLK1,23042.7394370431,25023.2199312264,20747.4344166567
2031,TLK1,22305.396731048,24388.7966391614,19929.634104693
2032,TLK1,22189.4778310398,24443.0831413051,19666.2787325807
2023,TLK4,12290.9735762411,12513.1647464693,12015.1177657326
2024,TLK4,12204.1857394184,12522.2899065266,11808.2448550767
2025,TLK4,12074.9899110811,12510.0885511278,11536.7734414598
2026,TLK4,11763.6697548729,12329.2565242118,11120.3180005388
2027,TLK4,11450.7387482413,12059.2265899427,10665.7872133965
2028,TLK4,10500.2188309154,11136.5078988304,9706.39749290265
2029,TLK4,10150.2253668826,10827.6781192736,9299.31240878179
2030,TLK4,9545.21810086858,10247.4337073893,8683.2095271321
2031,TLK4,9200.20260482289,9926.02670517697,8310.62999592546
2032,TLK4,9186.81074159569,9954.22545261418,8230.05304611498
2023,TLH1,28147.3362860434,28832.012934109,27415.0503097788
2024,TLH1,28190.2412648066,29180.9128545484,27166.8642900699
2025,TLH1,27868.6748492134,29144.0220940567,26617.863548597
2026,TLH1,27322.2790142014,28952.7325868584,25709.3893256581
2027,TLH1,26684.0651397489,28631.2755748966,24761.9317220719
2028,TLH1,24439.4226389647,26426.8778236382,22445.5405807437
2029,TLH1,23006.9866427397,25051.5674823993,20949.5727200892
2030,TLH1,22176.7377898151,24345.0927924804,20040.1750330478
2031,TLH1,20960.6557608829,23181.1084909773,18818.1483464402
2032,TLH1,21228.0283604498,23677.980074413,18916.0276068585
2023,TLH2,23938.6398748112,24570.966869251,23164.0745338132
2024,TLH2,23792.6528946189,24653.2831003121,22793.4276869583
2025,TLH2,23505.7617225285,24591.7056002806,22225.0118698207
2026,TLH2,22983.2858679865,24308.4561251852,21543.1947478951
2027,TLH2,22416.7392941217,23922.8761003536,20669.6169908278
2028,TLH2,21057.5811118317,22735.9893182104,19244.5234300641
2029,TLH2,20235.4152006452,21999.9528882651,18312.4801201089
2030,TLH2,19656.740344507,21519.4310857104,17633.6883242533
2031,TLH2,18838.7194329992,20748.7411195654,16735.0365225879
2032,TLH2,18816.3514081709,20852.7655695304,16556.4291054748
2023,TLH3,22358.5683770061,22787.0469778365,21731.8729031634
2024,TLH3,22365.2213650217,22944.8197726678,21529.9883635943
2025,TLH3,22159.9718093394,22880.4704505143,21216.8539055214
2026,TLH3,21953.6702377663,22812.7072812983,20768.6261850805
2027,TLH3,21675.1351540927,22777.0088738144,20345.1599333477
2028,TLH3,21196.9032373914,22421.6874565634,19772.1364900895
2029,TLH3,20363.3150092291,21610.9455371872,18864.3298979424
2030,TLH3,19812.5776651493,21172.953774141,18227.1778469477
2031,TLH3,18810.9256555294,20250.5993585426,17186.3510443142
2032,TLH3,19523.5728142751,21127.4009325532,17714.4580696365
2023,TLJ4,22730.4952631409,23036.95533,22401.6662723779
2024,TLJ4,22913.9536167979,23405.3090475587,22294.9242411872
2025,TLJ4,22842.7782724353,23457.0609230424,21993.0911570548
2026,TLJ4,22646.9747227013,23578.9509268266,21637.7065423524
2027,TLJ4,22382.6709222669,23558.1201682454,21128.6764605728
2028,TLJ4,21594.3512563645,22845.6596273684,20253.2872637293
