year,itl22cd,mean_projection,upper_pi,lower_pi
2023,TLC1,13267.1870897763,13711.1396243117,12897.462085368
2024,TLC1,13005.1757387901,13570.683210445,12439.4310043916
2025,TLC1,12013.1035182579,12601.6007036212,11413.2842054716
2026,TLC1,11618.5463213747,12256.1066479775,10969.638830105
2027,TLC1,11220.4586716915,11902.5934776991,10524.3986032536
2028,TLC1,10587.479409681,11294.1112040823,9870.41612716975
2029,TLC1,10889.403064176,11683.8591560511,10095.3896136945
2030,TLC1,10387.1985720629,11278.3110032856,9569.43956557008
2031,TLC1,10098.6252603172,11031.4603607173,9243.31944852434
2032,TLC1,9818.06898566513,10791.5496892331,8927.9638840225
2023,TLD7,17576.1531931672,17978.4781063839,17148.2273815378
2024,TLD7,17397.3715150481,18051.1961701824,16762.888068888
2025,TLD7,16908.9689363211,17645.0711244671,16227.2123297764
2026,TLD7,16400.933341827,17190.4909011841,15663.599228433
2027,TLD7,15529.5919277063,16373.6892643485,14767.2595106628
2028,TLD7,15185.7415078802,16096.1916886621,14374.0803185097
2029,TLD7,15528.8652643811,16545.2319580224,14632.1804203714
2030,TLD7,15237.3475154136,16471.599844456,14279.7627713778
2031,TLD7,15007.914548065,16323.3459508343,13999.0999432285
2032,TLD7,14781.9362165349,16182.7406580659,13723.5881572277
2023,TLD6,10724.7034317083,11026.4038230244,10432.273670933
2024,TLD6,10654.934425994,11179.4907695761,10183.7539558477
2025,TLD6,10134.6600438641,10726.2008926454,9637.56350024905
2026,TLD6,9647.71632687436,10270.189246951,9122.22172569908
2027,TLD6,9646.63128468289,10342.6168398978,9062.37165310787
2028,TLD6,9352.79650043914,10097.3350058009,8731.46307604885
2029,TLD6,9659.46656071245,10499.1933756656,8967.09287277575
2030,TLD6,9293.43754772946,10117.2056909588,8565.15500218031
2031,TLD6,9162.76069247952,10032.5138083941,8396.8701564137
2032,TLD6,9033.92131022173,9967.98149498026,8220.82563774428
2023,TLD4,17596.5078826414,17983.3829471868,17214.7007955501
2024,TLD4,17401.3483384065,18014.7996584499,16910.2185237809
2025,TLD4,16166.8289388096,16815.64922533,15626.8463077931
2026,TLD4,16270.6551711938,17009.6150156313,15660.5209957403
2027,TLD4,15657.3061378251,16441.2273537682,15017.0682890544
2028,TLD4,15080.4106169618,15915.5442552633,14407.5005923419
2029,TLD4,15560.9993913898,16503.0229465892,14815.6236399849
2030,TLD4,15101.8275951504,16176.0136255702,14318.6544202435
2031,TLD4,14862.2754245953,16002.5003496289,14027.4243956314
2032,TLD4,14626.5231413093,15831.2277179702,13737.7352122222
2023,TLE1,10379.523554421,10734.3308620378,10034.1090542561
2024,TLE1,10213.8793063234,10742.7039118002,9695.62788500627
2025,TLE1,9583.35350982935,10147.7872488947,9007.82855319545
2026,TLE1,9051.26409951635,9630.33840438404,8437.84153623803
2027,TLE1,8950.59600769879,9574.65936381693,8285.24816217225
2028,TLE1,8525.78394600231,9188.51507524671,7841.4477328661
2029,TLE1,8665.15556486204,9400.33963714489,7914.79799095816
2030,TLE1,8371.43095876466,9159.28868323284,7551.67774627303
2031,TLE1,8167.93743619824,9004.00527269738,7307.3714919951
2032,TLE1,7969.39045311001,8850.40083965595,7068.50530502871
2023,TLE2,7699.07698721847,7959.46447143384,7496.67969939085
2024,TLE2,7582.92901173135,7964.48292108529,7220.06191348404
2025,TLE2,7133.32593720627,7576.78719191128,6745.79526210054
2026,TLE2,6839.27380498132,7319.0627840515,6407.79858789082
2027,TLE2,6461.42806734565,6959.31412059378,6017.86515756446
2028,TLE2,6468.34274636204,7015.7640273082,5982.11585569451
2029,TLE2,6481.88546099171,7081.9580932411,5956.63421631726
2030,TLE2,6266.39642852172,6900.1237224567,5709.27182954978
2031,TLE2,6121.73822295281,6798.89713041409,5540.25351839372
2032,TLE2,5980.41941613996,6695.83780036611,5365.42718403929
2023,TLF1,24870.291108453,25444.4000654171,24263.4592372815
2024,TLF1,24465.129640265,25399.6776844711,23569.9316203941
2025,TLF1,22545.9527280772,23509.3178689377,21626.7298906938
2026,TLF1,21928.0041048296,22965.5689186034,20948.83013335
2027,TLF1,21001.6245611169,22086.725017756,19970.1957470653
2028,TLF1,20414.7834078381,21568.4592250538,19338.5084043078
2029,TLF1,20688.8389813747,21963.8375716228,19500.0219085957
2030,TLF1,19932.7091765654,21365.6280930597,18665.4006340063
2031,TLF1,19464.7517052054,20948.8073437598,18133.9526437523
2032,TLF1,19007.7804070274,20566.7475489772,17607.598513081
2023,TLF2,22246.8798237978,22766.6472253402,21822.2619236824
2024,TLF2,21930.7531659668,22717.1610571109,21238.5290294897
2025,TLF2,21047.7352868273,22005.1588407852,20200.7339473532
2026,TLF2,20208.5379682009,21241.4726971196,19315.0670246001
2027,TLF2,19858.4950458685,20962.7544900669,18885.9979019569
