year,itl22cd,mean_projection,upper_pi,lower_pi
2023,TLC1,13351.3892246896,13729.5506305283,12942.0807086824
2024,TLC1,12388.7324928185,12784.1445551253,11935.0585912384
2025,TLC1,12036.0746904588,12463.4697464109,11538.99207261
2026,TLC1,11676.2965127273,12146.1346811672,11143.1353410413
2027,TLC1,11067.473932621,11558.9553422664,10514.9587985349
2028,TLC1,11434.6118398929,11990.2816638774,10809.708648485
2029,TLC1,10956.6354454168,11627.7747862127,10288.624114016
2030,TLC1,10700.4602682888,11413.1173355164,9996.70561517185
2031,TLC1,10450.2746781744,11210.1062855049,9716.79136563094
2032,TLC1,10205.9386335871,10998.0226763782,9441.72692374558
2023,TLD7,17493.3686007092,17919.0936756159,17082.284650048
2024,TLD7,17040.9721566374,17564.1383753909,16575.9620923186
2025,TLD7,16566.5942349609,17135.0791018989,16062.5963152873
2026,TLD7,15722.1576494709,16324.8155547313,15196.7373598625
2027,TLD7,15409.0383844136,16060.1188623202,14844.1150505361
2028,TLD7,15793.0746050348,16522.6854496537,15161.7456504821
2029,TLD7,15531.8707829793,16547.4876692908,14769.3790819302
2030,TLD7,15332.824884572,16441.3243846259,14530.7435836518
2031,TLD7,15136.3298231003,16330.3147366629,14283.4749312093
2032,TLD7,14942.352908772,16217.8486518022,14038.8933729047
2023,TLD6,10736.8647109564,11076.2146555033,10407.8636818892
2024,TLD6,10239.2796440219,10641.6353573538,9869.49473051592
2025,TLD6,9772.78317558633,10204.8243315626,9379.1800459743
2026,TLD6,9797.22171435298,10280.9103241764,9364.44044869867
2027,TLD6,9523.62445297782,10046.8093388812,9062.15982393688
2028,TLD6,9861.6012730764,10454.6854744514,9341.73314037878
2029,TLD6,9512.70873904338,10140.7505193511,8957.67955390875
2030,TLD6,9403.45992729209,10070.4557679491,8808.78296110833
2031,TLD6,9295.46578476242,10011.276461495,8661.79570509486
2032,TLD6,9188.71190219141,9951.24842096994,8518.35269908898
2023,TLD4,17626.8916468803,18032.9799470596,17318.5176704888
2024,TLD4,16428.5205059284,16855.8295641008,16077.2140882437
2025,TLD4,16586.678589276,17076.3946681883,16178.9323874195
2026,TLD4,16012.2443251993,16538.9426720637,15584.2646282064
2027,TLD4,15471.3819866429,16029.3307035937,15010.1852969044
2028,TLD4,16015.2677864532,16652.0534360529,15492.9305081973
2029,TLD4,15592.1858975421,16352.8643537623,14986.2106765786
2030,TLD4,15393.7198402506,16208.7770021574,14740.8307017615
2031,TLD4,15197.779969868,16068.5609197637,14506.9981880454
2032,TLD4,15004.3341316754,15928.1208087061,14281.5976106846
2023,TLE1,10350.9720778939,10646.471620167,9946.20421655301
2024,TLE1,9744.25736462125,10065.6226464356,9292.71636297565
2025,TLE1,9233.81770198121,9573.98369857517,8750.33918714407
2026,TLE1,9161.46309612154,9548.15963317671,8637.22961901664
2027,TLE1,8755.64260766798,9161.91389567141,8212.27894558313
2028,TLE1,8928.34346909723,9387.38239267218,8323.84649288186
2029,TLE1,8654.3617935605,9189.15634670602,7986.15769130307
2030,TLE1,8472.0511942134,9037.92862953039,7755.32673437668
2031,TLE1,8293.5811038983,8887.59270457608,7544.48525492919
2032,TLE1,8118.87061942207,8747.0212244794,7331.71230917801
2023,TLE2,7762.50630114307,8009.78502058744,7521.73169114989
2024,TLE2,7330.53554895355,7635.44422722641,7037.03938395664
2025,TLE2,7055.57295735128,7384.08724343539,6741.1707192753
2026,TLE2,6691.59226626322,7037.42617342589,6358.83913879675
2027,TLE2,6724.69577274941,7105.87356732297,6357.56321971805
2028,TLE2,6764.8727240113,7186.41194961759,6365.22120038969
2029,TLE2,6565.30344905516,7046.68791374103,6117.43903731547
2030,TLE2,6438.58380486188,6945.25861724985,5959.15096971021
2031,TLE2,6314.31002906586,6847.11015564183,5804.97951393807
2032,TLE2,6192.43491294698,6751.76598895698,5654.81331113746
2023,TLF1,24829.3021007957,25446.6798899242,24238.7369562055
2024,TLF1,22969.36955732,23605.2582658769,22341.5046731442
2025,TLF1,22425.548747393,23130.7154605087,21727.4857815157
2026,TLF1,21560.5759245052,22315.3513793197,20833.9835827674
2027,TLF1,21038.5466632123,21834.2455104742,20252.415022461
2028,TLF1,21402.7988798715,22293.8798032198,20521.9926838239
2029,TLF1,20699.7105766966,21799.3962977026,19764.8483394604
2030,TLF1,20291.3201451672,21463.5266528266,19296.9784460877
2031,TLF1,19890.9869637113,21133.145798903,18839.6339000502
2032,TLF1,19498.5520685683,20804.7901033101,18385.6864026416
2023,TLF2,22201.6777799604,22689.4038741298,21740.5515786718
2024,TLF2,21389.1510465168,22102.7145711379,20704.2995729595
2025,TLF2,20614.7937875107,21371.4484328053,19880.770287951
2026,TLF2,20335.1021789158,21166.0703087308,19542.0688643716
2027,TLF2,19388.57844182,20262.1438304776,18571.8010807066
2028,TLF2,20140.699919232,21108.5644209831,19223.0322639716
2029,TLF2,19795.0669761988,20878.3715720691,18674.109470947
2030,TLF2,19575.3963008862,20730.0861741633,18377.9326469286
2031,TLF2,19358.1633645137,20595.6648832971,18060.1967365486
2032,TLF2,19143.3411148993,20455.9967206779,17761.633693672
2023,TLG1,14661.7873363678,15018.0922583631,14315.6813709582
2024,TLG1,14272.4600748935,14685.9141856307,13815.1259518326
2025,TLG1,14032.5651861593,14495.9130883605,13530.1289299669
2026,TLG1,13541.313999042,14044.6742041858,13003.7153863336
2027,TLG1,13484.5827802836,14029.9594775674,12901.5011715364
2028,TLG1,13745.7968787152,14349.161747238,13105.970689696
2029,TLG1,13440.3586768025,14084.3452933577,12676.7832359887
2030,TLG1,13317.6182359383,14009.3887658572,12497.6190017126
2031,TLG1,13195.9986889568,13946.4078383038,12321.4949585482
2032,TLG1,13075.4897995979,13886.0793143909,12150.7139932098
2023,TLG2,17940.4323088417,18445.1069114878,17374.5563859017
2024,TLG2,17138.8973488002,17689.6579430009,16506.1802505981
2025,TLG2,16740.0885486437,17344.2625641868,16049.182485961
2026,TLG2,16746.7959393661,17423.4068287459,15962.4904416567
2027,TLG2,16435.5179872157,17170.6729891028,15587.7898081441
2028,TLG2,16704.1397218883,17522.1732596642,15751.9336111765
2029,TLG2,16300.0271834636,17224.0060042186,15307.3630250152
2030,TLG2,16138.5263278557,17140.6344385197,15068.6903917602
2031,TLG2,15978.6256245707,17057.6348124125,14844.4212006157
2032,TLG2,15820.3092192813,16975.1797208629,14619.1973838449
2023,TLK1,27621.3446988089,28334.6697803138,26904.6804901286
2024,TLK1,26083.68731341,26865.2160287926,25277.1357853996
2025,TLK1,25128.1210477493,25971.3845346425,24258.333540093
2026,TLK1,24194.2871717647,25102.5140783868,23265.1824665148
2027,TLK1,23674.910086578,24653.945224298,22684.0922589774
2028,TLK1,23808.1216253089,24900.1556971619,22733.2004116002
2029,TLK1,23268.0615302897,24482.1974370985,21986.5627389801
2030,TLK1,22809.1154419829,24090.7836045597,21448.5326754534
2031,TLK1,22359.221741289,23704.5119911924,20917.210227279
